Country;Region;Happiness Rank;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Denmark;Western Europe;1;7.526;7.46;7.592;1.44178;1.16374;0.79504;0.57941;0.44453;0.36171;2.73939;10.4;2.1;10.8;8.5;45700.0;54.0;-1.7;1.2
Switzerland;Western Europe;2;7.509;7.428;7.59;1.52733;1.14524;0.86303;0.58557;0.41203;0.28083;2.69463;10.5;4.7;11.7;5.1;58600.0;34.7;0.2;0.64
Iceland;Western Europe;3;7.501;7.333;7.669;1.42666;1.18326;0.86733;0.56624;0.14975;0.47678;2.83137;13.8;4.2;8.9;7.0;46100.0;42.2;-0.5;0.13
Norway;Western Europe;4;7.498;7.421;7.575;1.57744;1.1269;0.79579;0.59609;0.35776;0.37895;2.66465;12.2;6.6;9.7;7.4;68400.0;54.3;5.9;1.59
Finland;Western Europe;5;7.413;7.351;7.475;1.40598;1.13464;0.81091;0.57104;0.41004;0.25492;2.82596;10.7;3.0;9.7;7.2;41100.0;55.6;-2.8;1.37
Canada;North America;6;7.404;7.335;7.473;1.44015;1.0961;0.8276;0.5737;0.31329;0.44834;2.70485;10.3;5.7;10.4;5.3;45600.0;38.6;-1.7;1.0
Netherlands;Western Europe;7;7.339;7.284;7.394;1.46468;1.02912;0.81231;0.55211;0.29927;0.47416;2.70749;10.9;1.9;10.9;5.6;49200.0;43.9;-1.9;1.17
New Zealand;Australia and New Zealand;8;7.334;7.264;7.404;1.36066;1.17278;0.83096;0.58147;0.41904;0.49401;2.47553;13.3;2.2;11.0;6.4;36200.0;38.6;0.3;1.13
Australia;Australia and New Zealand;9;7.313;7.241;7.385;1.44443;1.10476;0.8512;0.56837;0.32331;0.47407;2.5465;12.1;5.6;9.4;5.3;65400.0;34.0;-1.7;1.71
Sweden;Western Europe;10;7.291;7.227;7.355;1.45181;1.08764;0.83121;0.58218;0.40867;0.38254;2.54734;12.0;5.4;11.9;7.7;47900.0;50.4;0.0;1.1
Israel;Middle East and Northern Africa;11;7.267;7.199;7.335;1.33766;0.99537;0.84917;0.36432;0.08728;0.32288;3.31029;18.3;2.2;7.8;5.9;33700.0;26.1;-2.1;5.58
Austria;Western Europe;12;7.119;7.045;7.193;1.45038;1.08383;0.80565;0.54355;0.21348;0.32865;2.69343;9.5;5.2;11.2;5.6;47300.0;50.5;-1.1;0.55
United States;North America;13;7.104;7.02;7.188;1.50796;1.04782;0.779;0.48163;0.14868;0.41077;2.72782;12.5;3.9;17.1;5.2;55800.0;18.1;-2.4;4.35
Costa Rica;Latin America and Caribbean;14;7.087;6.999;7.175;1.06879;1.02152;0.76146;0.55225;0.10547;0.22553;3.35168;15.7;0.8;9.3;7.0;15500.0;14.8;-5.9;
Puerto Rico;Latin America and Caribbean;15;7.039;6.794;7.284;1.35943;1.08113;0.77758;0.46823;0.12275;0.22202;3.0076;10.8;-7.4;;6.4;38000.0;8.8;-0.5;
Germany;Western Europe;16;6.994;6.93;7.058;1.44787;1.09774;0.81487;0.53466;0.28551;0.30452;2.50931;8.5;1.5;11.3;4.9;46900.0;44.6;0.7;1.18
Brazil;Latin America and Caribbean;17;6.952;6.875;7.029;1.08754;1.03938;0.61415;0.40425;0.14166;0.15776;3.50733;14.3;-0.1;8.3;5.9;15600.0;36.0;-2.0;1.47
Belgium;Western Europe;18;6.929;6.861;6.997;1.42539;1.05249;0.81959;0.51354;0.26248;0.2424;2.61355;11.4;5.6;10.6;6.4;43600.0;51.3;-2.6;0.85
Ireland;Western Europe;19;6.907;6.836;6.978;1.48341;1.16157;0.81455;0.54008;0.29754;0.44963;2.15988;14.5;4.0;7.8;5.8;55500.0;32.9;-2.4;0.49
Luxembourg;Western Europe;20;6.871;6.804;6.938;1.69752;1.03999;0.84542;0.5487;0.35329;0.27571;2.11055;11.4;16.3;6.6;;99000.0;43.1;1.3;0.44
Mexico;Latin America and Caribbean;21;6.778;6.68;6.876;1.11508;0.7146;0.71143;0.37709;0.18355;0.11735;3.55906;18.5;-1.7;6.3;5.2;17500.0;23.5;-3.5;0.59
