Overall rank;Country;Happiness Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
1;Finland;7.769;1.34;1.587;0.986;0.596;0.153;0.393;10.7;2.8;9.5;6.9;44500.0;53.1;-0.6;1.29
2;Denmark;7.6;1.383;1.573;0.996;0.592;0.252;0.41;10.9;4.3;10.4;7.6;50100.0;53.0;1.1;1.32
3;Norway;7.554;1.488;1.582;1.028;0.603;0.271;0.341;12.2;5.3;10.5;8.0;72100.0;54.4;4.4;1.8
4;Iceland;7.494;1.38;1.624;1.026;0.591;0.354;0.118;13.6;3.7;8.3;7.5;52200.0;42.4;1.5;0.3
5;Netherlands;7.488;1.396;1.522;0.999;0.557;0.322;0.298;10.9;1.9;10.4;5.5;53900.0;43.4;1.1;1.36
6;Switzerland;7.48;1.452;1.526;1.052;0.572;0.263;0.343;10.5;4.6;12.2;5.1;62100.0;35.7;1.1;0.68
7;Sweden;7.343;1.387;1.487;1.009;0.574;0.267;0.373;12.1;5.3;10.9;7.7;51200.0;50.6;1.3;1.04
8;New Zealand;7.307;1.303;1.557;1.026;0.585;0.33;0.38;13.1;2.2;9.2;6.4;39000.0;36.8;1.6;1.16
9;Canada;7.278;1.365;1.505;1.039;0.584;0.285;0.308;10.2;5.7;10.5;5.3;48400.0;39.3;-1.0;1.31
10;Austria;7.246;1.376;1.475;1.016;0.532;0.244;0.226;9.5;4.4;10.4;5.5;50000.0;48.3;-0.7;0.58
11;Australia;7.228;1.372;1.548;1.036;0.557;0.332;0.29;12.0;5.4;9.3;5.3;50400.0;35.5;-0.5;1.89
12;Costa Rica;7.167;1.034;1.441;0.963;0.558;0.144;0.093;15.3;0.8;7.6;7.4;16900.0;14.3;-6.1;
13;Israel;7.139;1.276;1.455;1.029;0.371;0.261;0.082;17.9;2.1;7.3;5.8;36400.0;26.5;-2.0;5.1
