Country;Regional indicator;Happiness Score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Finland;Western Europe;7.842;0.032;7.904;7.78;10.775;0.954;72.0;0.949;-0.098;0.186;2.43;1.446;1.106;0.741;0.691;0.124;0.481;3.253;10.49;2.46;9.0;6.3;47300.0;53.1;-0.6;2.2
Denmark;Western Europe;7.62;0.035;7.687;7.552;10.933;0.954;72.7;0.946;0.03;0.179;2.43;1.502;1.108;0.763;0.686;0.208;0.485;2.868;11.17;2.74;10.1;7.8;55900.0;53.0;1.1;1.4
Switzerland;Western Europe;7.571;0.036;7.643;7.5;11.117;0.942;74.4;0.919;0.025;0.292;2.43;1.566;1.079;0.816;0.653;0.204;0.413;2.839;10.41;4.55;11.9;4.9;68400.0;35.7;1.1;0.8
Iceland;Western Europe;7.554;0.059;7.67;7.438;10.878;0.983;73.0;0.955;0.16;0.673;2.43;1.482;1.172;0.772;0.698;0.293;0.17;2.967;13.12;3.09;8.5;7.6;52300.0;42.4;1.5;
Netherlands;Western Europe;7.464;0.027;7.518;7.41;10.932;0.942;72.4;0.913;0.175;0.338;2.43;1.501;1.079;0.753;0.647;0.302;0.384;2.798;10.98;1.9;10.0;5.4;54200.0;43.4;1.1;1.49
Norway;Western Europe;7.392;0.035;7.462;7.323;11.053;0.954;73.3;0.96;0.093;0.27;2.43;1.543;1.108;0.782;0.703;0.249;0.427;2.58;12.09;3.95;10.1;7.6;63600.0;54.4;4.4;2.0
Sweden;Western Europe;7.363;0.036;7.433;7.293;10.867;0.934;72.7;0.945;0.086;0.237;2.43;1.478;1.062;0.763;0.685;0.244;0.448;2.683;11.93;4.87;10.9;7.6;50700.0;50.6;1.3;1.1
Luxembourg;Western Europe;7.324;0.037;7.396;7.252;11.647;0.908;72.6;0.907;-0.034;0.386;2.43;1.751;1.003;0.76;0.639;0.166;0.353;2.653;11.62;12.65;5.3;3.7;110300.0;44.4;1.5;0.57
New Zealand;North America and ANZ;7.277;0.04;7.355;7.198;10.643;0.948;73.4;0.929;0.134;0.242;2.43;1.4;1.094;0.785;0.665;0.276;0.445;2.612;12.83;6.89;9.2;6.0;42400.0;36.8;1.6;1.5
Austria;Western Europe;7.268;0.036;7.337;7.198;10.906;0.934;73.3;0.908;0.042;0.481;2.43;1.492;1.062;0.782;0.64;0.215;0.292;2.784;9.48;3.57;10.3;5.2;51900.0;48.3;-0.7;0.8
Australia;North America and ANZ;7.183;0.041;7.265;7.102;10.796;0.94;73.9;0.914;0.159;0.442;2.43;1.453;1.076;0.801;0.647;0.291;0.317;2.598;12.35;7.49;9.3;5.1;48700.0;35.5;-0.5;2.1
Israel;Middle East and North Africa;7.157;0.034;7.224;7.09;10.575;0.939;73.503;0.8;0.031;0.753;2.43;1.376;1.074;0.788;0.509;0.208;0.119;3.083;17.52;2.05;7.5;6.2;38300.0;26.5;-2.0;4.8
Germany;Western Europe;7.155;0.04;7.232;7.077;10.873;0.903;72.5;0.875;0.011;0.46;2.43;1.48;0.993;0.757;0.6;0.195;0.306;2.824;8.63;1.5;11.4;5.0;50900.0;45.0;1.3;1.56
Canada;North America and ANZ;7.103;0.042;7.185;7.021;10.776;0.926;73.8;0.915;0.089;0.415;2.43;1.447;1.044;0.798;0.648;0.246;0.335;2.585;10.21;5.55;10.8;5.3;45900.0;39.3;-1.0;1.42
Ireland;Western Europe;7.085;0.04;7.164;7.006;11.342;0.947;72.4;0.879;0.077;0.363;2.43;1.644;1.092;0.753;0.606;0.238;0.367;2.384;12.6;3.83;6.9;3.4;89700.0;26.0;-0.3;0.27
Costa Rica;Latin America and Caribbean;7.069;0.056;7.179;6.96;9.88;0.891;71.4;0.934;-0.126;0.809;2.43;1.134;0.966;0.722;0.673;0.105;0.083;3.387;14.53;0.78;7.6;6.7;19700.0;14.3;-6.1;0.7
United Kingdom;Western Europe;7.064;0.038;7.138;6.99;10.707;0.934;72.5;0.859;0.233;0.459;2.43;1.423;1.062;0.757;0.58;0.34;0.306;2.596;11.77;2.47;10.0;5.2;41600.0;39.1;-1.9;2.32
Czechia;Central and Eastern Europe;6.965;0.049;7.062;6.868;10.556;0.947;70.807;0.858;-0.208;0.868;2.43;1.37;1.09;0.703;0.58;0.052;0.046;3.124;8.75;2.32;7.7;4.3;38300.0;40.5;1.6;1.34
United States;North America and ANZ;6.951;0.049;7.047;6.856;11.023;0.92;68.2;0.837;0.098;0.698;2.43;1.533;1.03;0.621;0.554;0.252;0.154;2.807;12.33;3.03;16.9;5.0;60200.0;17.0;-3.4;3.73
Belgium;Western Europe;6.834;0.034;6.901;6.767;10.823;0.906;72.199;0.783;-0.153;0.646;2.43;1.463;0.998;0.747;0.489;0.088;0.187;2.862;11.03;4.58;10.3;6.4;48200.0;51.3;-1.0;1.07
France;Western Europe;6.69;0.037;6.762;6.618;10.704;0.942;74.0;0.822;-0.147;0.571;2.43;1.421;1.081;0.804;0.536;0.092;0.235;2.521;11.77;1.06;11.3;5.4;42000.0;53.8;-2.6;2.04
Bahrain;Middle East and North Africa;6.647;0.068;6.779;6.514;10.669;0.862;69.495;0.925;0.089;0.722;2.43;1.409;0.899;0.662;0.661;0.246;0.139;2.631;12.5;-0.67;4.1;2.3;40900.0;16.6;-10.1;4.2
Malta;Western Europe;6.602;0.044;6.688;6.516;10.674;0.931;72.2;0.927;0.133;0.653;2.43;1.411;1.055;0.747;0.664;0.275;0.183;2.268;9.84;6.04;9.0;4.7;39200.0;40.4;3.9;0.6
Taiwan;East Asia;6.584;0.038;6.659;6.51;10.871;0.898;69.6;0.784;-0.07;0.721;2.43;1.48;0.982;0.665;0.49;0.142;0.139;2.687;7.43;0.75;;;24502.0;16.0;-0.1;2.3
