RANK;Country;Happiness Score;Whisker-high;Whisker-low;Dystopia (1.83) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
1;Finland;7,821;7,886;7,756;2,518;1,892;1,258;0,775;0,736;0,109;0,534;10.42;2.35;9.2;5.9;47300.0;53.1;-0.6;2.0
2;Denmark;7,636;7,710;7,563;2,226;1,953;1,243;0,777;0,719;0,188;0,532;11.22;2.73;10.0;6.4;55900.0;53.0;1.1;1.4
3;Iceland;7,557;7,651;7,464;2,320;1,936;1,320;0,803;0,718;0,270;0,191;12.96;2.89;8.6;7.7;52300.0;42.4;1.5;
4;Switzerland;7,512;7,586;7,437;2,153;2,026;1,226;0,822;0,677;0,147;0,461;10.36;4.52;11.3;5.2;68400.0;35.7;1.1;0.7
5;Netherlands;7,415;7,471;7,359;2,137;1,945;1,206;0,787;0,651;0,271;0,419;10.99;1.9;10.1;5.3;54200.0;43.4;1.1;1.7
6;Luxembourg;7,404;7,501;7,307;2,042;2,209;1,155;0,790;0,700;0,120;0,388;11.61;12.01;5.4;5.0;110300.0;44.4;1.5;0.6
7;Sweden;7,384;7,454;7,315;2,003;1,920;1,204;0,803;0,724;0,218;0,512;10.83;3.6;10.9;7.2;50700.0;50.6;1.3;1.3
8;Norway;7,365;7,440;7,290;1,925;1,997;1,239;0,786;0,728;0,217;0,474;12.0;3.92;10.5;5.9;63600.0;54.4;4.4;1.6
9;Israel;7,364;7,426;7,301;2,634;1,826;1,221;0,818;0,568;0,155;0,143;17.41;2.02;7.5;7.1;38300.0;26.5;-2.0;5.0
10;New Zealand;7,200;7,279;7,120;1,954;1,852;1,235;0,752;0,680;0,245;0,483;12.78;5.83;9.7;6.0;42400.0;36.8;1.6;1.4
11;Austria;7,163;7,237;7,089;2,148;1,931;1,165;0,774;0,623;0,193;0,329;9.45;3.55;10.4;5.1;51900.0;48.3;-0.7;0.9
12;Australia;7,162;7,244;7,081;2,011;1,900;1,203;0,772;0,676;0,258;0,341;12.3;6.93;9.9;6.1;48700.0;35.5;-0.5;2.0
13;Ireland;7,041;7,121;6,961;1,743;2,129;1,166;0,779;0,627;0,190;0,408;12.32;3.79;6.7;3.1;89700.0;26.0;-0.3;0.3
14;Germany;7,034;7,122;6,947;2,142;1,924;1,088;0,776;0,585;0,163;0,358;9.08;1.78;11.7;4.7;50900.0;45.0;1.3;1.5
15;Canada;7,025;7,107;6,943;1,924;1,886;1,188;0,783;0,659;0,217;0,368;10.17;5.46;10.8;5.2;45900.0;39.3;-1.0;1.4
16;United States;6,977;7,065;6,888;2,214;1,982;1,182;0,628;0,574;0,220;0,177;12.28;3.02;16.8;6.1;60200.0;17.0;-3.4;3.5
17;United Kingdom;6,943;7,018;6,867;1,967;1,867;1,143;0,750;0,597;0,289;0,329;10.79;3.59;10.2;5.5;41600.0;39.1;-1.9;2.1
18;Czechia;6,920;7,029;6,811;2,263;1,815;1,260;0,715;0,660;0,158;0,048;8.59;2.32;7.8;5.1;38300.0;40.5;1.6;1.3
19;Belgium;6,805;6,890;6,720;2,283;1,907;1,106;0,764;0,492;0,049;0,204;10.95;4.38;10.7;6.7;48200.0;51.3;-1.0;1.2
20;France;6,687;6,758;6,615;1,895;1,863;1,219;0,808;0,567;0,070;0,266;11.66;1.06;11.1;5.5;42000.0;53.8;-2.6;1.9
21;Bahrain;6,647;6,779;6,514;2,092;1,854;1,029;0,625;0,693;0,199;0,155;12.4;-0.82;4.0;2.2;40900.0;16.6;-10.1;3.6
22;Slovenia;6,630;6,718;6,542;1,885;1,810;1,249;0,769;0,685;0,118;0,115;8.3;1.54;8.5;5.8;36500.0;43.1;0.0;1.2
23;Costa Rica;6,582;6,683;6,481;2,346;1,584;1,054;0,744;0,661;0,089;0,102;14.28;0.77;7.3;6.7;19700.0;14.3;-6.1;0.7
24;United Arab Emirates;6,576;6,660;6,492;1,809;1,998;0,980;0,633;0,702;0,204;0,250;10.81;-3.45;4.3;3.9;67100.0;28.8;-0.2;5.6
25;Saudi Arabia;6,523;6,637;6,409;2,075;1,870;1,092;0,577;0,651;0,078;0,180;14.22;5.52;5.7;7.8;44300.0;26.4;-8.9;6.0
26;Taiwan;6,512;6,596;6,429;2,002;1,897;1,095;0,733;0,542;0,075;0,168;7.39;0.85;;;24502.0;16.0;-0.1;2.2
27;Singapore;6,480;6,569;6,392;0,932;2,149;1,127;0,851;0,672;0,163;0,587;9.05;4.22;4.1;2.8;93400.0;15.7;-0.3;3.2
28;Romania;6,477;6,575;6,379;2,446;1,719;1,006;0,655;0,605;0,039;0,006;8.76;-4.36;5.7;3.7;28800.0;29.3;-2.8;2.0
