Country;Happiness Score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
Finland;7.804;0.036;7.875;7.733;10.792;0.969;71.15;0.961;-0.019;0.182;1.778;1.888;1.585;0.535;0.772;0.126;0.535;2.363;10.33;2.25;9.6;5.9;48800.0;19.85;-0.6;1.4
Denmark;7.586;0.041;7.667;7.506;10.962;0.954;71.25;0.934;0.134;0.196;1.778;1.949;1.548;0.537;0.734;0.208;0.525;2.084;11.25;2.71;10.5;6.4;58000.0;34.07;1.1;1.15
Iceland;7.53;0.049;7.625;7.434;10.896;0.983;72.05;0.936;0.211;0.668;1.778;1.926;1.62;0.559;0.738;0.25;0.187;2.25;12.8;2.69;9.6;7.7;53600.0;22.33;1.5;
Israel;7.473;0.032;7.535;7.411;10.639;0.943;72.697;0.809;-0.023;0.708;1.778;1.833;1.521;0.577;0.569;0.124;0.158;2.691;17.3;1.99;8.3;7.1;39400.0;21.9;-2.0;5.5
Netherlands;7.403;0.029;7.46;7.346;10.942;0.93;71.55;0.887;0.213;0.379;1.778;1.942;1.488;0.545;0.672;0.251;0.394;2.11;10.98;1.89;11.1;5.3;56600.0;24.38;1.1;1.2
Sweden;7.395;0.037;7.468;7.322;10.883;0.939;72.15;0.948;0.165;0.202;1.778;1.921;1.51;0.562;0.754;0.225;0.52;1.903;10.76;3.79;11.4;7.2;53600.0;26.58;1.3;1.0
Norway;7.315;0.044;7.402;7.229;11.088;0.943;71.5;0.947;0.141;0.283;1.778;1.994;1.521;0.544;0.752;0.212;0.463;1.829;11.89;3.89;11.4;5.9;65700.0;21.09;4.4;1.74
Switzerland;7.24;0.043;7.324;7.156;11.164;0.92;72.9;0.891;0.027;0.266;1.778;2.022;1.463;0.582;0.678;0.151;0.475;1.87;10.3;4.5;11.8;5.2;71000.0;9.37;1.1;0.7
Luxembourg;7.228;0.069;7.363;7.093;11.66;0.879;71.675;0.915;0.024;0.345;1.778;2.2;1.357;0.549;0.71;0.149;0.418;1.845;11.59;11.39;5.8;5.0;115700.0;25.13;1.5;0.5
New Zealand;7.123;0.038;7.198;7.048;10.662;0.952;70.35;0.887;0.175;0.271;1.778;1.842;1.544;0.513;0.672;0.23;0.471;1.852;12.69;4.81;10.0;6.0;42900.0;27.5;1.6;1.1
Austria;7.097;0.04;7.176;7.018;10.899;0.888;71.15;0.855;0.102;0.497;1.778;1.927;1.382;0.535;0.63;0.191;0.31;2.124;9.39;3.54;11.5;5.1;54100.0;24.19;-0.7;0.7
Australia;7.095;0.044;7.18;7.009;10.821;0.934;71.05;0.89;0.198;0.496;1.778;1.899;1.497;0.532;0.677;0.242;0.31;1.938;12.23;6.39;10.7;6.1;49800.0;22.61;-0.5;2.1
Canada;6.961;0.042;7.042;6.879;10.773;0.929;71.4;0.874;0.153;0.42;1.778;1.881;1.484;0.541;0.656;0.218;0.364;1.815;10.11;5.37;12.9;5.2;47900.0;13.3;-1.0;1.16
Ireland;6.911;0.044;6.996;6.825;11.527;0.905;71.3;0.874;0.092;0.358;1.778;2.152;1.425;0.539;0.656;0.186;0.409;1.545;12.08;3.76;7.1;3.1;102500.0;16.51;-0.3;0.3
United States;6.894;0.047;6.986;6.802;11.048;0.919;65.85;0.8;0.137;0.689;1.778;1.98;1.46;0.39;0.557;0.21;0.172;2.124;12.21;3.01;18.8;6.1;63700.0;9.86;-3.4;3.5
Germany;6.892;0.049;6.989;6.795;10.879;0.896;71.3;0.846;0.03;0.42;1.778;1.919;1.401;0.539;0.618;0.153;0.365;1.898;9.02;1.78;12.8;4.7;53200.0;10.55;1.3;1.2
Belgium;6.859;0.034;6.926;6.793;10.844;0.915;70.899;0.825;0.001;0.549;1.778;1.907;1.449;0.528;0.59;0.137;0.273;1.976;10.86;4.18;11.1;6.7;51700.0;21.97;-1.0;0.9
Czechia;6.845;0.044;6.931;6.759;10.611;0.953;69.05;0.903;0.04;0.859;1.778;1.823;1.544;0.477;0.693;0.158;0.05;2.099;8.43;2.32;9.2;5.1;40700.0;14.34;1.6;0.96
United Kingdom;6.796;0.042;6.877;6.714;10.704;0.882;70.3;0.852;0.253;0.454;1.778;1.857;1.366;0.511;0.626;0.272;0.34;1.822;10.8;3.23;12.0;5.5;45000.0;24.73;-1.9;2.08
Lithuania;6.763;0.044;6.849;6.677;10.568;0.939;67.397;0.748;-0.145;0.805;1.778;1.808;1.511;0.432;0.487;0.059;0.089;2.377;9.09;-4.34;7.5;4.0;39300.0;19.88;0.5;2.0
France;6.661;0.038;6.735;6.588;10.701;0.909;72.3;0.819;-0.1;0.553;1.778;1.856;1.433;0.566;0.582;0.083;0.27;1.872;11.56;1.06;12.2;5.5;45000.0;24.69;-2.6;1.79
Slovenia;6.65;0.051;6.75;6.55;10.588;0.951;71.052;0.913;0.014;0.771;1.778;1.815;1.539;0.532;0.707;0.144;0.113;1.799;8.12;1.54;9.5;5.8;40000.0;16.92;0.0;1.0
Costa Rica;6.609;0.052;6.71;6.507;9.952;0.872;70.0;0.895;-0.07;0.768;1.778;1.587;1.34;0.503;0.683;0.099;0.116;2.281;14.03;0.76;7.9;6.7;21200.0;12.32;-6.1;0.7
Romania;6.589;0.052;6.69;6.488;10.339;0.848;67.051;0.856;-0.172;0.929;1.778;1.726;1.28;0.423;0.631;0.044;0.0;2.485;8.63;-3.86;6.3;3.7;30800.0;14.18;-2.8;1.41
Singapore;6.587;0.068;6.72;6.454;11.571;0.878;73.8;0.878;0.063;0.146;1.778;2.168;1.354;0.607;0.66;0.17;0.561;1.067;8.94;4.18;6.1;2.8;106000.0;12.89;-0.3;3.2
United Arab Emirates;6.571;0.043;6.656;6.486;11.145;0.826;66.243;0.942;0.096;0.584;1.778;2.015;1.223;0.401;0.745;0.188;0.247;1.752;10.76;-3.35;5.5;3.9;69700.0;0.68;-0.2;6.0
Taiwan;6.535;0.047;6.627;6.444;10.797;0.884;69.6;0.804;-0.129;0.681;1.778;1.89;1.372;0.492;0.562;0.067;0.178;1.974;7.33;0.96;;;45400.0;16.0;-0.1;1.8
Uruguay;6.494;0.046;6.583;6.404;10.037;0.913;67.5;0.895;-0.065;0.575;1.778;1.617;1.445;0.435;0.683;0.102;0.254;1.958;12.65;-0.88;9.2;4.6;22800.0;18.55;-3.5;1.9
Slovakia;6.469;0.056;6.578;6.36;10.353;0.953;68.838;0.753;-0.016;0.898;1.778;1.731;1.544;0.472;0.494;0.128;0.022;2.078;8.78;0.2;7.2;4.6;31900.0;18.5;-1.0;1.1
Saudi Arabia;6.463;0.061;6.581;6.344;10.715;0.884;64.399;0.894;-0.081;0.691;1.778;1.861;1.37;0.351;0.682;0.093;0.17;1.936;13.9;6.07;5.5;7.8;44300.0;8.6;-8.9;10.8
Estonia;6.455;0.04;6.534;6.377;10.541;0.946;69.65;0.929;0.032;0.409;1.778;1.798;1.526;0.494;0.728;0.153;0.372;1.383;8.48;-2.73;7.8;6.6;38700.0;20.69;-0.3;2.07
Spain;6.436;0.042;6.519;6.354;10.54;0.932;72.35;0.782;-0.066;0.711;1.778;1.798;1.491;0.567;0.533;0.101;0.157;1.789;7.12;4.23;10.7;4.6;37900.0;13.58;-3.1;0.9
Italy;6.405;0.054;6.511;6.298;10.634;0.882;72.05;0.711;-0.074;0.842;1.778;1.832;1.365;0.559;0.438;0.097;0.063;2.052;7.0;3.2;9.6;4.3;41900.0;24.77;-2.3;1.2
Kosovo;6.368;0.06;6.485;6.25;9.359;0.844;65.195;0.861;0.259;0.866;1.778;1.374;1.269;0.372;0.639;0.275;0.045;2.393;14.57;-0.71;;;11900.0;29.0;-2.1;0.8
Chile;6.334;0.046;6.424;6.243;10.114;0.889;70.3;0.792;-0.011;0.823;1.778;1.645;1.384;0.511;0.546;0.131;0.076;2.04;12.57;0.32;9.8;5.6;25400.0;16.24;-2.8;2.0
Mexico;6.33;0.057;6.441;6.218;9.85;0.804;65.8;0.856;-0.094;0.768;1.778;1.55;1.169;0.389;0.632;0.086;0.115;2.389;13.95;-0.77;6.2;4.3;19100.0;14.29;-1.1;0.6
Malta;6.3;0.045;6.388;6.212;10.661;0.923;71.6;0.886;0.119;0.729;1.778;1.841;1.468;0.547;0.671;0.2;0.143;1.429;9.59;4.96;10.8;5.9;44700.0;23.73;3.9;0.5
Panama;6.265;0.081;6.424;6.105;10.305;0.896;68.95;0.855;-0.133;0.878;1.778;1.714;1.402;0.475;0.63;0.065;0.036;1.943;17.71;3.22;9.7;3.9;29000.0;8.51;-1.6;1.2
Poland;6.26;0.042;6.343;6.177;10.453;0.925;69.049;0.765;-0.031;0.736;1.778;1.767;1.474;0.477;0.511;0.12;0.139;1.772;8.31;-0.34;6.5;5.2;34900.0;17.48;-1.7;1.9
Nicaragua;6.259;0.076;6.408;6.109;8.618;0.853;65.65;0.877;0.021;0.625;1.778;1.109;1.292;0.385;0.66;0.148;0.218;2.448;16.3;-2.04;8.6;4.6;5600.0;17.2;-2.0;0.5
Latvia;6.213;0.042;6.295;6.131;10.37;0.937;66.4;0.818;-0.056;0.83;1.778;1.737;1.505;0.405;0.58;0.107;0.071;1.808;8.5;-5.06;7.5;6.0;32100.0;21.77;-0.5;1.6
Bahrain;6.173;0.1;6.369;5.977;10.776;0.844;65.825;0.944;0.117;0.737;1.778;1.883;1.269;0.389;0.748;0.199;0.138;1.546;12.3;-0.99;4.2;2.2;49400.0;16.6;-10.1;4.6
Guatemala;6.15;0.108;6.362;5.939;9.116;0.812;62.9;0.856;-0.057;0.837;1.778;1.287;1.188;0.31;0.631;0.106;0.066;2.562;21.88;-1.63;6.5;3.1;8900.0;9.97;-1.3;0.4
Kazakhstan;6.144;0.048;6.239;6.049;10.166;0.931;65.802;0.853;0.0;0.721;1.778;1.664;1.491;0.389;0.628;0.136;0.149;1.688;14.92;0.39;3.8;4.5;26100.0;8.32;-1.8;0.9
Serbia;6.144;0.079;6.299;5.988;9.854;0.873;67.088;0.845;0.204;0.816;1.778;1.552;1.343;0.424;0.617;0.246;0.081;1.881;8.87;0.0;8.7;3.6;19800.0;23.49;0.2;1.8
Cyprus;6.13;0.054;6.236;6.024;10.611;0.826;72.802;0.724;-0.06;0.86;1.778;1.824;1.224;0.58;0.455;0.104;0.05;1.893;10.37;6.65;8.1;6.1;41700.0;22.42;1.8;1.4
Japan;6.129;0.042;6.211;6.047;10.616;0.894;74.349;0.799;-0.237;0.64;1.778;1.825;1.396;0.622;0.556;0.009;0.207;1.513;6.9;0.74;10.9;3.4;40800.0;35.2;-3.5;0.94
Croatia;6.125;0.057;6.237;6.013;10.341;0.917;68.95;0.757;-0.093;0.925;1.778;1.727;1.455;0.475;0.5;0.087;0.003;1.88;8.6;-0.26;7.8;5.5;31600.0;20.6;0.8;1.7
Brazil;6.125;0.065;6.252;5.997;9.582;0.836;65.749;0.801;-0.009;0.738;1.778;1.454;1.25;0.387;0.558;0.131;0.137;2.205;13.44;-0.19;10.3;6.0;14600.0;12.96;-1.1;1.3
