Country;Central bank discount rate(%) ;
;;
Albania ;"5% (31 December 2010 est.) 
5.25% (31 December 2009 est.) ";5
;;#VALUE!
Algeria ;"4% (31 December 2010 est.) 
4% (31 December 2009 est.) ";4
;;#VALUE!
Angola ;"25% (31 December 2010 est.) 
30% (31 December 2009 est.) ";25
;;#VALUE!
Anguilla ;"6.5% (31 December 2010 est.) 
6.5% (31 December 2009 est.) ";6.5
;;#VALUE!
Antigua and Barbuda ;"6.5% (31 December 2010 est.) 
6.5% (31 December 2009 est.) ";6.5
;;#VALUE!
Argentina ;NA% ;NA
;;#VALUE!
Armenia ;"NA% (31 December 2009) 
7.25% (2 December 2008) 
note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank ";NA
;;#VALUE!
Aruba ;"1% (31 December 2010 est.) 
3% (31 December 2009 est.) ";1
;;#VALUE!
Australia ;"4.35% (31 December 2010 est.) 
3.28% (31 December 2009 est.) 
note: this is the Reserve Bank of Australia's ""cash rate target,"" or policy rate ";4.35
;;#VALUE!
Azerbaijan ;"3% (31 December 2010 est.) 
2% (31 December 2009 est.) 
note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan ";3
;;#VALUE!
Bahamas, The ;"5.25% (31 December 2010 est.) 
5.25% (31 December 2009 est.) ";5.25
;;#VALUE!
Bahrain ;"0.5% (31 December 2010 est.) 
0.5% (31 December 2009 est.) ";0.5
;;#VALUE!
Bangladesh ;"5% (31 December 2010 est.) 
5% (31 December 2009 est.) ";5
;;#VALUE!
Barbados ;"7% (31 December 2010 est.) 
7% (31 December 2009 est.) ";7
;;#VALUE!
Belarus ;"10.5% (31 December 2010 est.) 
13.5% (31 December 2009 est.) ";10.5
;;#VALUE!
Belgium ;"1.75% (31 December 2010) 
1.75% (31 December 2009) 
note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area ";1.75
;;#VALUE!
Belize ;"18% (31 December 2010 est.) 
12% (31 December 2009 est.) ";18
;;#VALUE!
Benin ;"4.25% (31 December 2010 est.) 
4.25% (31 December 2009 est.) ";4.25
;;#VALUE!
Bhutan ;NA% ;NA
;;#VALUE!
Bolivia ;"3% (31 December 2010 est.) 
3% (31 December 2009 est.) ";3
;;#VALUE!
Botswana ;"9.5% (31 December 2010 est.) 
10% (31 December 2009 est.) ";9.5
;;#VALUE!
Brazil ;"10.75% (31 December 2010 est.) 
8.75% (31 December 2009 est.) ";10.75
;;#VALUE!
Bulgaria ;"20% (31 December 2010 est.) 
0.55% (31 December 2009 est.) 
note: Bulgarian National Bank (BNB) has had no independent monetary policy since the introduction of the Currency Board regime in 1997; this is BNB's base interest rate ";20
;;#VALUE!
Burkina Faso ;"4.25% (31 December 2010 est.) 
4.25% (31 December 2009 est.) ";4.25
;;#VALUE!
Burma ;"9.95% (31 December 2010 est.) 
12% (31 December 2009 est.) ";9.95
;;#VALUE!
Burundi ;"11.25% (31 December 2010 est.) 
10% (31 December 2009 est.) ";11.25
;;#VALUE!
Cambodia ;"NA% (31 December 2008) 
5.25% (31 December 2007) ";NA
;;#VALUE!
Cameroon ;"NA% (31 December 2010 est.) 
4.25% (31 December 2009 est.) ";NA
;;#VALUE!
Canada ;"1% (31 December 2010 est.) 
0.25% (31 December 2009 est.) ";1
;;#VALUE!
Cape Verde ;"7.5% (31 December 2010 est.) 
7.5% (31 December 2009 est.) ";7.5
;;#VALUE!
Central African Republic ;"4.25% (31 December 2009) 
4.75% (31 December 2008) ";4.25
;;#VALUE!
Chad ;"4.25% (31 December 2009) 
4.75% (31 December 2008) ";4.25
;;#VALUE!
Chile ;"3.12% (31 December 2010 est.) 
0.5% (31 December 2009 est.) ";3.12
;;#VALUE!
China ;"3.25% (31 December 2010 est.) 
2.79% (31 December 2009 est.) ";3.25
;;#VALUE!
Colombia ;"5% (31 December 2010 est.) 
5.5% (31 December 2009 est.) ";5
;;#VALUE!
Comoros ;"1.93% (31 December 2010 est.) 
2.21% (31 December 2009 est.) ";1.93
;;#VALUE!
Congo, Democratic Republic of the ;"22% (31 December 2010 est.) 
70% (31 December 2009 est.) ";22
;;#VALUE!
Congo, Republic of the ;"4.25% (31 December 2009) 
4.75% (31 December 2008) ";4.25
;;#VALUE!
Costa Rica ;"21.5% (31 December 2010 est.) 
23% (31 December 2009 est.) ";21.5
;;#VALUE!
