Country;Education expenditures(% of GDP) ;
;;
Afghanistan ;NA ;#VALUE!
;;#VALUE!
Akrotiri ;NA ;#VALUE!
;;#VALUE!
Albania ;NA ;#VALUE!
;;#VALUE!
Algeria ;4.3% of GDP (2008) ;4.3
;;#VALUE!
American Samoa ;NA ;#VALUE!
;;#VALUE!
Andorra ;3.2% of GDP (2008) ;3.2
;;#VALUE!
Angola ;2.6% of GDP (2006) ;2.6
;;#VALUE!
Anguilla ;3.5% of GDP (2008) ;3.5
;;#VALUE!
Antigua and Barbuda ;2.7% of GDP (2009) ;2.7
;;#VALUE!
Argentina ;4.9% of GDP (2007) ;4.9
;;#VALUE!
Armenia ;3% of GDP (2007) ;3
;;#VALUE!
Aruba ;5% of GDP (2008) ;5
;;#VALUE!
Australia ;4.5% of GDP (2007) ;4.5
;;#VALUE!
Austria ;5.4% of GDP (2007) ;5.4
;;#VALUE!
Azerbaijan ;2.8% of GDP (2009) ;2.8
;;#VALUE!
Bahamas, The ;NA ;#VALUE!
;;#VALUE!
Bahrain ;2.9% of GDP (2008) ;2.9
;;#VALUE!
Bangladesh ;2.4% of GDP (2008) ;2.4
;;#VALUE!
Barbados ;6.7% of GDP (2008) ;6.7
;;#VALUE!
Belarus ;4.5% of GDP (2009) ;4.5
;;#VALUE!
Belgium ;6.01% of GDP (2007) ;6.01
;;#VALUE!
Belize ;5.7% of GDP (2008) ;5.7
;;#VALUE!
Benin ;3.5% of GDP (2007) ;3.5
;;#VALUE!
Bermuda ;2.6% of GDP (2009) ;2.6
;;#VALUE!
Bhutan ;4.8% of GDP (2008) ;4.8
;;#VALUE!
Bolivia ;6.3% of GDP (2006) ;6.3
;;#VALUE!
Bosnia and Herzegovina ;NA ;#VALUE!
;;#VALUE!
Botswana ;8.9% of GDP (2009) ;8.9
;;#VALUE!
Brazil ;5.08% of GDP (2007) ;5.08
;;#VALUE!
British Indian Ocean Territory ;NA ;#VALUE!
;;#VALUE!
British Virgin Islands ;3.2% of GDP (2007) ;3.2
