Country;GDP - per capita (PPP) ;
;;
Afghanistan ;"$900 (2010 est.) 
$900 (2009 est.) 
$800 (2008 est.) 
note: data are in 2010 US dollars ";900
;;#VALUE!
Albania ;"$8,000 (2010 est.) 
$7,700 (2009 est.) 
$7,500 (2008 est.) 
note: data are in 2010 US dollars ";8,000
;;#VALUE!
Algeria ;"$7,300 (2010 est.) 
$7,100 (2009 est.) 
$7,000 (2008 est.) 
note: data are in 2010 US dollars ";7,300
;;#VALUE!
American Samoa ;"$8,000 (2007 est.) 
$5,800 (2005 est.) ";8,000
;;#VALUE!
Andorra ;"$46,700 (2009 est.) 
$44,900 (2008 est.) 
$42,500 (2007 est.) ";46,700
;;#VALUE!
Angola ;"$8,200 (2010 est.) 
$8,300 (2009 est.) 
$8,200 (2008 est.) 
note: data are in 2010 US dollars ";8,200
;;#VALUE!
Anguilla ;$12,200 (2008 est.) ;12,200
;;#VALUE!
Antigua and Barbuda ;"$16,400 (2010 est.) 
$17,400 (2009 est.) 
$19,300 (2008 est.) 
note: data are in 2010 US dollars ";16,400
;;#VALUE!
Argentina ;"$14,700 (2010 est.) 
$13,700 (2009 est.) 
$14,100 (2008 est.) 
note: data are in 2010 US dollars ";14,700
;;#VALUE!
Armenia ;"$5,700 (2010 est.) 
$5,500 (2009 est.) 
$6,400 (2008 est.) 
note: data are in 2010 US dollars ";5,700
;;#VALUE!
Aruba ;$21,800 (2004 est.) ;21,800
;;#VALUE!
Australia ;"$41,000 (2010 est.) 
$40,400 (2009 est.) 
$40,300 (2008 est.) 
note: data are in 2010 US dollars ";41,000
;;#VALUE!
Austria ;"$40,400 (2010 est.) 
$39,700 (2009 est.) 
$41,300 (2008 est.) 
note: data are in 2010 US dollars ";40,400
;;#VALUE!
Azerbaijan ;"$10,900 (2010 est.) 
$10,500 (2009 est.) 
$9,700 (2008 est.) 
note: data are in 2010 US dollars ";10,900
;;#VALUE!
Bahamas, The ;"$28,700 (2010 est.) 
$28,900 (2009 est.) 
$30,400 (2008 est.) 
note: data are in 2010 US dollars ";28,700
;;#VALUE!
Bahrain ;"$40,300 (2010 est.) 
$39,200 (2009 est.) 
$38,500 (2008 est.) 
note: data are in 2010 US dollars ";40,300
;;#VALUE!
Bangladesh ;"$1,700 (2010 est.) 
$1,600 (2009 est.) 
$1,500 (2008 est.) 
note: data are in 2010 US dollars ";1,700
;;#VALUE!
Barbados ;"$21,800 (2010 est.) 
$22,000 (2009 est.) 
$23,200 (2008 est.) 
note: data are in 2010 US dollars ";21,800
;;#VALUE!
Belarus ;"$13,600 (2010 est.) 
$12,600 (2009 est.) 
$12,600 (2008 est.) 
note: data are in 2010 US dollars ";13,600
;;#VALUE!
Belgium ;"$37,800 (2010 est.) 
$37,100 (2009 est.) 
$38,200 (2008 est.) 
note: data are in 2010 US dollars ";37,800
;;#VALUE!
Belize ;"$8,400 (2010 est.) 
$8,400 (2009 est.) 
$8,600 (2008 est.) 
note: data are in 2010 US dollars ";8,400
;;#VALUE!
Benin ;"$1,500 (2010 est.) 
$1,600 (2009 est.) 
$1,600 (2008 est.) 
note: data are in 2010 US dollars ";1,500
;;#VALUE!
Bermuda ;$69,900 (2004 est.) ;69,900
;;#VALUE!
Bhutan ;"$5,500 (2010 est.) 
$5,300 (2009 est.) 
$4,900 (2008 est.) 
note: data are in 2010 US dollars ";5,500
;;#VALUE!
Bolivia ;"$4,800 (2010 est.) 
$4,700 (2009 est.) 
$4,600 (2008 est.) 
note: data are in 2010 US dollars ";4,800
;;#VALUE!
Bosnia and Herzegovina ;"$6,600 (2010 est.) 
$6,500 (2009 est.) 
$6,800 (2008 est.) 
note: data are in 2010 US dollars ";6,600
;;#VALUE!
Botswana ;"$14,000 (2010 est.) 
$13,200 (2009 est.) 
$14,000 (2008 est.) 
note: data are in 2010 US dollars ";14,000
;;#VALUE!
Brazil ;"$10,800 (2010 est.) 
$10,200 (2009 est.) 
$10,400 (2008 est.) 
note: data are in 2010 US dollars ";10,800
;;#VALUE!
British Virgin Islands ;$38,500 (2004 est.) ;38,500
;;#VALUE!
Brunei ;"$51,600 (2010 est.) 
$50,400 (2009 est.) 
$52,300 (2008 est.) 
note: data are in 2010 US dollars ";51,600
;;#VALUE!
Bulgaria ;"$13,500 (2010 est.) 
$13,400 (2009 est.) 
$14,100 (2008 est.) 
note: data are in 2010 US dollars ";13,500
;;#VALUE!
Burkina Faso ;"$1,200 (2010 est.) 
$1,200 (2009 est.) 
$1,200 (2008 est.) 
note: data are in 2010 US dollars ";1,200
;;#VALUE!
Burma ;"$1,400 (2010 est.) 
$1,400 (2009 est.) 
$1,300 (2008 est.) 
note: data are in 2010 US dollars ";1,400
;;#VALUE!
Burundi ;"$300 (2010 est.) 
$300 (2009 est.) 
$300 (2008 est.) 
note: data are in 2010 US dollars ";300
;;#VALUE!
Cambodia ;"$2,100 (2010 est.) 
$2,000 (2009 est.) 
$2,100 (2008 est.) 
note: data are in 2010 US dollars ";2,100
;;#VALUE!
Cameroon ;"$2,300 (2010 est.) 
$2,300 (2009 est.) 
$2,300 (2008 est.) 
note: data are in 2010 US dollars ";2,300
;;#VALUE!
Canada ;"$39,400 (2010 est.) 
$38,500 (2009 est.) 
$39,800 (2008 est.) 
note: data are in 2010 US dollars ";39,400
;;#VALUE!
Cape Verde ;"$3,800 (2010 est.) 
$3,600 (2009 est.) 
$3,500 (2008 est.) 
note: data are in 2010 US dollars ";3,800
;;#VALUE!
Cayman Islands ;$43,800 (2004 est.) ;43,800
;;#VALUE!
Central African Republic ;"$700 (2010 est.) 
$700 (2009 est.) 
$700 (2008 est.) 
note: data are in 2010 US dollars ";700
;;#VALUE!
Chad ;"$1,600 (2010 est.) 
$1,600 (2009 est.) 
$1,600 (2008 est.) 
note: data are in 2010 US dollars ";1,600
;;#VALUE!
Chile ;"$15,400 (2010 est.) 
$14,800 (2009 est.) 
$15,100 (2008 est.) 
note: data are in 2010 US dollars ";15,400
;;#VALUE!
China ;"$7,600 (2010 est.) 
$6,900 (2009 est.) 
$6,400 (2008 est.) 
note: data are in 2010 US dollars ";7,600
;;#VALUE!
Colombia ;"$9,800 (2010 est.) 
$9,600 (2009 est.) 
$9,500 (2008 est.) 
note: data are in 2010 US dollars ";9,800
;;#VALUE!
Comoros ;"$1,000 (2010 est.) 
$1,000 (2009 est.) 
$1,100 (2008 est.) 
note: data are in 2010 US dollars ";1,000
;;#VALUE!
Congo, Democratic Republic of the ;"$300 (2010 est.) 
$300 (2009 est.) 
$300 (2008 est.) 
note: data are in 2010 US dollars ";300
;;#VALUE!
Congo, Republic of the ;"$4,100 (2010 est.) 
$3,900 (2009 est.) 
$3,700 (2008 est.) 
note: data are in 2010 US dollars ";4,100
;;#VALUE!
Cook Islands ;$9,100 (2005 est.) ;9,100
;;#VALUE!
Costa Rica ;"$11,300 (2010 est.) 
$11,000 (2009 est.) 
$11,300 (2008 est.) 
note: data are in 2010 US dollars ";11,300
;;#VALUE!
Cote d'Ivoire ;"$1,800 (2010 est.) 
$1,800 (2009 est.) 
$1,700 (2008 est.) 
note: data are in 2010 US dollars ";1,800
;;#VALUE!
Croatia ;"$17,400 (2010 est.) 
$17,600 (2009 est.) 
$18,700 (2008 est.) 
note: data are in 2010 US dollars ";17,400
;;#VALUE!
Cuba ;"$9,900 (2010 est.) 
$9,800 (2009 est.) 
$9,700 (2008 est.) 
note: data are in 2010 US dollars ";9,900
;;#VALUE!
Curacao ;$15,000 (2004 est.) ;15,000
;;#VALUE!
Cyprus ;"$21,000 (2010 est.) 
$21,200 (2009 est.) 
$21,900 (2008 est.) 
note: data are in 2010 US dollars ";21,000
;;#VALUE!
Czech Republic ;"$25,600 (2010 est.) 
$25,000 (2009 est.) 
$26,100 (2008 est.) 
note: data are in 2010 US dollars ";25,600
;;#VALUE!
Denmark ;"$36,600 (2010 est.) 
$35,900 (2009 est.) 
$38,000 (2008 est.) 
note: data are in 2010 US dollars ";36,600
;;#VALUE!
Djibouti ;"$2,800 (2010 est.) 
$2,800 (2009 est.) 
$2,700 (2008 est.) 
note: data are in 2010 US dollars ";2,800
;;#VALUE!
Dominica ;"$10,400 (2010 est.) 
$10,300 (2009 est.) 
$10,400 (2008 est.) 
note: data are in 2010 US dollars ";10,400
;;#VALUE!
Dominican Republic ;"$8,900 (2010 est.) 
$8,400 (2009 est.) 
$8,200 (2008 est.) 
note: data are in 2010 US dollars ";8,900
;;#VALUE!
Ecuador ;"$7,800 (2010 est.) 
$7,600 (2009 est.) 
$7,700 (2008 est.) 
note: data are in 2010 US dollars ";7,800
;;#VALUE!
Egypt ;"$6,200 (2010 est.) 
$6,000 (2009 est.) 
$5,900 (2008 est.) 
note: data are in 2010 US dollars ";6,200
;;#VALUE!
El Salvador ;"$7,200 (2010 est.) 
$7,200 (2009 est.) 
$7,500 (2008 est.) 
note: data are in 2010 US dollars ";7,200
;;#VALUE!
Equatorial Guinea ;"$36,600 (2010 est.) 
$37,900 (2009 est.) 
$36,800 (2008 est.) 
note: data are in 2010 US dollars; population figures are uncertain for Equatorial Guinea; these per capita income figures are based on a estimated population of less than 700,000; some estimates put the figure as high as 1.2 million people; if true, the per capita GDP figures would be significantly lower ";36,600
;;#VALUE!
