Country;Health expenditures(% of GDP) ;
;;
Afghanistan ;7.4% of GDP (2009) ;7.4
;;#VALUE!
Albania ;6.9% of GDP (2009) ;6.9
;;#VALUE!
Algeria ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Andorra ;7.7% of GDP (2009) ;7.7
;;#VALUE!
Angola ;4.6% of GDP (2009) ;4.6
;;#VALUE!
Antigua and Barbuda ;5.1% of GDP (2009) ;5.1
;;#VALUE!
Argentina ;9.5% of GDP (2009) ;9.5
;;#VALUE!
Armenia ;4.7% of GDP (2009) ;4.7
;;#VALUE!
Australia ;8.5% of GDP (2009) ;8.5
;;#VALUE!
Austria ;11% of GDP (2009) ;11
;;#VALUE!
Azerbaijan ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Bahamas, The ;7.2% of GDP (2009) ;7.2
;;#VALUE!
Bahrain ;4.5% of GDP (2009) ;4.5
;;#VALUE!
Bangladesh ;3.4% of GDP (2009) ;3.4
;;#VALUE!
Barbados ;6.8% of GDP (2009) ;6.8
;;#VALUE!
Belarus ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Belgium ;11.8% of GDP (2009) ;11.8
;;#VALUE!
Belize ;3.3% of GDP (2009) ;3.3
;;#VALUE!
Benin ;4.2% of GDP (2009) ;4.2
;;#VALUE!
Bhutan ;5.5% of GDP (2009) ;5.5
;;#VALUE!
Bolivia ;4.8% of GDP (2009) ;4.8
;;#VALUE!
Bosnia and Herzegovina ;10.9% of GDP (2009) ;10.9
;;#VALUE!
Botswana ;10.3% of GDP (2009) ;10.3
;;#VALUE!
Brazil ;9% of GDP (2009) ;9
;;#VALUE!
Brunei ;3% of GDP (2009) ;3
;;#VALUE!
Bulgaria ;7.4% of GDP (2009) ;7.4
;;#VALUE!
Burkina Faso ;6.4% of GDP (2009) ;6.4
;;#VALUE!
Burma ;2% of GDP (2009) ;2
;;#VALUE!
Burundi ;13.1% of GDP (2009) ;13.1
;;#VALUE!
Cambodia ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Cameroon ;5.6% of GDP (2009) ;5.6
;;#VALUE!
Canada ;10.9% of GDP (2009) ;10.9
;;#VALUE!
Cape Verde ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Central African Republic ;4.3% of GDP (2009) ;4.3
;;#VALUE!
Chad ;7% of GDP (2009) ;7
;;#VALUE!
Chile ;8.2% of GDP (2009) ;8.2
;;#VALUE!
China ;4.6% of GDP (2009) ;4.6
;;#VALUE!
Colombia ;6.4% of GDP (2009) ;6.4
;;#VALUE!
Comoros ;3.4% of GDP (2009) ;3.4
;;#VALUE!
Congo, Democratic Republic of the ;11.2% of GDP (2009) ;11.2
;;#VALUE!
Congo, Republic of the ;3% of GDP (2009) ;3
;;#VALUE!
Cook Islands ;4.4% of GDP (2009) ;4.4
;;#VALUE!
Costa Rica ;10.5% of GDP (2009) ;10.5
;;#VALUE!
Cote d'Ivoire ;5.1% of GDP (2009) ;5.1
;;#VALUE!
Croatia ;7.8% of GDP (2009) ;7.8
;;#VALUE!
Cuba ;11.8% of GDP (2009) ;11.8
;;#VALUE!
Cyprus ;6% of GDP (2009) ;6
;;#VALUE!
Czech Republic ;7.6% of GDP (2009) ;7.6
;;#VALUE!
Denmark ;7% of GDP (2009) ;7
;;#VALUE!
Djibouti ;6.4% of GDP (2009) ;6.4
;;#VALUE!
Dominica ;5.9% of GDP (2009) ;5.9
;;#VALUE!
Dominican Republic ;6.1% of GDP (2009) ;6.1
;;#VALUE!
Ecuador ;5% of GDP (2009) ;5
;;#VALUE!
Egypt ;6.4% of GDP (2009) ;6.4
;;#VALUE!
El Salvador ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Equatorial Guinea ;2.2% of GDP (2009) ;2.2
;;#VALUE!
Eritrea ;7% of GDP (2009) ;7
;;#VALUE!
Estonia ;4.3% of GDP (2009) ;4.3
;;#VALUE!
Ethiopia ;3.6% of GDP (2009) ;3.6
;;#VALUE!
Fiji ;9.7% of GDP (2009) ;9.7
;;#VALUE!
Finland ;11.7% of GDP (2009) ;11.7
;;#VALUE!
France ;3.5% of GDP (2009) ;3.5
;;#VALUE!
Gabon ;6% of GDP (2009) ;6
;;#VALUE!
Gambia, The ;10.1% of GDP (2009) ;10.1
;;#VALUE!
Georgia ;11.3% of GDP (2009) ;11.3
;;#VALUE!
Germany ;8.1% of GDP (2009) ;8.1
;;#VALUE!
Ghana ;10.6% of GDP (2009) ;10.6
;;#VALUE!
Greece ;7.4% of GDP (2009) ;7.4
;;#VALUE!
Grenada ;7.1% of GDP (2009) ;7.1
;;#VALUE!
Guatemala ;5.7% of GDP (2009) ;5.7
;;#VALUE!
Guinea ;6.1% of GDP (2009) ;6.1
;;#VALUE!
Guinea-Bissau ;8.1% of GDP (2009) ;8.1
;;#VALUE!
Guyana ;6.1% of GDP (2009) ;6.1
;;#VALUE!
Haiti ;6% of GDP (2009) ;6
;;#VALUE!
Honduras ;7.3% of GDP (2009) ;7.3
;;#VALUE!
Hungary ;8.2% of GDP (2009) ;8.2
;;#VALUE!
Iceland ;4.2% of GDP (2009) ;4.2
;;#VALUE!
India ;2.4% of GDP (2009) ;2.4
;;#VALUE!
Indonesia ;5.5% of GDP (2009) ;5.5
;;#VALUE!
Iran ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Iraq ;9.7% of GDP (2009) ;9.7
;;#VALUE!
Ireland ;7.6% of GDP (2009) ;7.6
;;#VALUE!
Israel ;9.5% of GDP (2009) ;9.5
;;#VALUE!
Italy ;5.1% of GDP (2009) ;5.1
;;#VALUE!
Jamaica ;8.3% of GDP (2009) ;8.3
;;#VALUE!
Japan ;9.3% of GDP (2009) ;9.3
;;#VALUE!
Jordan ;4.5% of GDP (2009) ;4.5
;;#VALUE!
Kazakhstan ;4.3% of GDP (2009) ;4.3
;;#VALUE!
Kenya ;12.2% of GDP (2009) ;12.2
;;#VALUE!
Kiribati ;3.3% of GDP (2009) ;3.3
;;#VALUE!
Korea, North ;2% of GDP (2009) ;2
;;#VALUE!
Korea, South ;6.5% of GDP (2009) ;6.5
;;#VALUE!
Kuwait ;6.8% of GDP (2009) ;6.8
;;#VALUE!
Kyrgyzstan ;4.1% of GDP (2009) ;4.1
;;#VALUE!
Laos ;6.5% of GDP (2009) ;6.5
;;#VALUE!
Latvia ;8.1% of GDP (2009) ;8.1
;;#VALUE!
Lebanon ;8.2% of GDP (2009) ;8.2
;;#VALUE!
Lesotho ;13.2% of GDP (2009) ;13.2
;;#VALUE!
Liberia ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Libya ;6.6% of GDP (2009) ;6.6
;;#VALUE!
Lithuania ;7.8% of GDP (2009) ;7.8
;;#VALUE!
Luxembourg ;4.1% of GDP (2009) ;4.1
;;#VALUE!
Macedonia ;6.9% of GDP (2009) ;6.9
;;#VALUE!
Madagascar ;6.2% of GDP (2009) ;6.2
;;#VALUE!
Malawi ;4.8% of GDP (2009) ;4.8
;;#VALUE!
Malaysia ;8% of GDP (2009) ;8
;;#VALUE!
Maldives ;5.6% of GDP (2009) ;5.6
;;#VALUE!
Mali ;7.5% of GDP (2009) ;7.5
;;#VALUE!
Malta ;16.5% of GDP (2009) ;16.5
;;#VALUE!
Marshall Islands ;2.5% of GDP (2009) ;2.5
;;#VALUE!
Mauritania ;5.7% of GDP (2009) ;5.7
;;#VALUE!
Mauritius ;6.5% of GDP (2009) ;6.5
;;#VALUE!
Mexico ;13.8% of GDP (2009) ;13.8
;;#VALUE!
Micronesia, Federated States of ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Moldova ;11.9% of GDP (2009) ;11.9
;;#VALUE!
Monaco ;4.7% of GDP (2009) ;4.7
;;#VALUE!
Mongolia ;9.3% of GDP (2009) ;9.3
;;#VALUE!
Morocco ;5.5% of GDP (2009) ;5.5
;;#VALUE!
Mozambique ;5.7% of GDP (2009) ;5.7
;;#VALUE!
Namibia ;5.9% of GDP (2009) ;5.9
;;#VALUE!
Nauru ;12.1% of GDP (2009) ;12.1
;;#VALUE!
Nepal ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Netherlands ;10.8% of GDP (2009) ;10.8
;;#VALUE!
New Zealand ;9.7% of GDP (2009) ;9.7
;;#VALUE!
Nicaragua ;9.5% of GDP (2009) ;9.5
;;#VALUE!
Niger ;6.1% of GDP (2009) ;6.1
;;#VALUE!
Nigeria ;5.8% of GDP (2009) ;5.8
;;#VALUE!
Niue ;13.5% of GDP (2009) ;13.5
;;#VALUE!
Norway ;9.7% of GDP (2009) ;9.7
;;#VALUE!
Oman ;3% of GDP (2009) ;3
;;#VALUE!
Pakistan ;2.6% of GDP (2009) ;2.6
;;#VALUE!
Palau ;11.2% of GDP (2009) ;11.2
;;#VALUE!
Panama ;8.3% of GDP (2009) ;8.3
;;#VALUE!
Papua New Guinea ;3.1% of GDP (2009) ;3.1
;;#VALUE!
Paraguay ;7.1% of GDP (2009) ;7.1
;;#VALUE!
Peru ;4.6% of GDP (2009) ;4.6
;;#VALUE!
Philippines ;3.8% of GDP (2009) ;3.8
;;#VALUE!
Poland ;7.1% of GDP (2009) ;7.1
;;#VALUE!
Portugal ;11.3% of GDP (2009) ;11.3
;;#VALUE!
Qatar ;2.5% of GDP (2009) ;2.5
;;#VALUE!
Romania ;5.4% of GDP (2009) ;5.4
;;#VALUE!
Russia ;5.4% of GDP (2009) ;5.4
;;#VALUE!
Rwanda ;9% of GDP (2009) ;9
;;#VALUE!
Saint Kitts and Nevis ;6% of GDP (2009) ;6
;;#VALUE!
Saint Lucia ;8.1% of GDP (2009) ;8.1
;;#VALUE!
Saint Vincent and the Grenadines ;5.6% of GDP (2009) ;5.6
;;#VALUE!
Samoa ;7% of GDP (2009) ;7
;;#VALUE!
San Marino ;7.1% of GDP (2009) ;7.1
;;#VALUE!
Sao Tome and Principe ;7.1% of GDP (2009) ;7.1
;;#VALUE!
Saudi Arabia ;5% of GDP (2009) ;5
;;#VALUE!
Senegal ;5.7% of GDP (2009) ;5.7
;;#VALUE!
Serbia ;9.9% of GDP (2009) ;9.9
;;#VALUE!
Seychelles ;4% of GDP (2009) ;4
;;#VALUE!
Sierra Leone ;13.1% of GDP (2009) ;13.1
;;#VALUE!
Singapore ;3.9% of GDP (2009) ;3.9
;;#VALUE!
Slovakia ;8.5% of GDP (2009) ;8.5
;;#VALUE!
Slovenia ;9.1% of GDP (2009) ;9.1
;;#VALUE!
Solomon Islands ;5.4% of GDP (2009) ;5.4
;;#VALUE!
South Africa ;8.5% of GDP (2009) ;8.5
;;#VALUE!
Spain ;9.7% of GDP (2009) ;9.7
;;#VALUE!
Sri Lanka ;4% of GDP (2009) ;4
;;#VALUE!
Sudan ;7.3% of GDP (2009) ;7.3
;;#VALUE!
Suriname ;7.6% of GDP (2009) ;7.6
;;#VALUE!
Swaziland ;6.3% of GDP (2009) ;6.3
;;#VALUE!
Sweden ;9.9% of GDP (2009) ;9.9
;;#VALUE!
Switzerland ;11.3% of GDP (2009) ;11.3
;;#VALUE!
Syria ;2.9% of GDP (2009) ;2.9
;;#VALUE!
Tajikistan ;5.3% of GDP (2009) ;5.3
;;#VALUE!
Tanzania ;5.1% of GDP (2009) ;5.1
;;#VALUE!
Thailand ;4.3% of GDP (2009) ;4.3
;;#VALUE!
Timor-Leste ;12.3% of GDP (2009) ;12.3
;;#VALUE!
Togo ;5.9% of GDP (2009) ;5.9
;;#VALUE!
Tonga ;6.2% of GDP (2009) ;6.2
;;#VALUE!
Trinidad and Tobago ;5.6% of GDP (2009) ;5.6
;;#VALUE!
Tunisia ;6.2% of GDP (2009) ;6.2
;;#VALUE!
Turkey ;6.7% of GDP (2009) ;6.7
;;#VALUE!
Turkmenistan ;2.3% of GDP (2009) ;2.3
;;#VALUE!
Tuvalu ;9.9% of GDP (2009) ;9.9
;;#VALUE!
Uganda ;8.2% of GDP (2009) ;8.2
;;#VALUE!
Ukraine ;7% of GDP (2009) ;7
;;#VALUE!
United Arab Emirates ;2.8% of GDP (2009) ;2.8
;;#VALUE!
United Kingdom ;9.3% of GDP (2009) ;9.3
;;#VALUE!
United States ;16.2% of GDP (2009) ;16.2
;;#VALUE!
Uruguay ;7.4% of GDP (2009) ;7.4
;;#VALUE!
Uzbekistan ;5.2% of GDP (2009) ;5.2
;;#VALUE!
Vanuatu ;4% of GDP (2009) ;4
;;#VALUE!
Vietnam ;7.2% of GDP (2009) ;7.2
;;#VALUE!
Yemen ;5.6% of GDP (2009) ;5.6
;;#VALUE!
Zambia ;4.8% of GDP (2009) ;4.8
