Country;Net migration rate(migrant(s)/1,000 population) ;migration
;;
Afghanistan ;3.31 migrant(s)/1,000 population (2011 est.) ;3.31 
;;#VALUE!
Albania ;-3.34 migrant(s)/1,000 population (2011 est.) ;-3.34 
;;#VALUE!
Algeria ;-0.27 migrant(s)/1,000 population (2011 est.) ;-0.27 
;;#VALUE!
American Samoa ;-6.63 migrant(s)/1,000 population (2011 est.) ;-6.63 
;;#VALUE!
Andorra ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Angola ;0.82 migrant(s)/1,000 population (2011 est.) ;0.82 
;;#VALUE!
Anguilla ;13.25 migrant(s)/1,000 population (2011 est.) ;13.25 
;;#VALUE!
Antigua and Barbuda ;2.32 migrant(s)/1,000 population (2011 est.) ;2.32 
;;#VALUE!
Argentina ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Armenia ;-3.76 migrant(s)/1,000 population (2011 est.) ;-3.76 
;;#VALUE!
Aruba ;9.42 migrant(s)/1,000 population (2011 est.) ;9.42 
;;#VALUE!
Australia ;6.03 migrant(s)/1,000 population (2011 est.) ;6.03 
;;#VALUE!
Austria ;1.81 migrant(s)/1,000 population (2011 est.) ;1.81 
;;#VALUE!
Azerbaijan ;-1.14 migrant(s)/1,000 population (2011 est.) ;-1.14 
;;#VALUE!
Bahamas, The ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Bahrain ;16.1 migrant(s)/1,000 population (2011 est.) ;16.1 
;;#VALUE!
Bangladesh ;-1.57 migrant(s)/1,000 population (2011 est.) ;-1.57 
;;#VALUE!
Barbados ;-0.3 migrant(s)/1,000 population (2011 est.) ;-0.3 
;;#VALUE!
Belarus ;0.38 migrant(s)/1,000 population (2011 est.) ;0.38 
;;#VALUE!
Belgium ;1.22 migrant(s)/1,000 population (2011 est.) ;1.22 
;;#VALUE!
Belize ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Benin ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Bermuda ;2.1 migrant(s)/1,000 population (2011 est.) ;2.1 
;;#VALUE!
Bhutan ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Bolivia ;-0.92 migrant(s)/1,000 population (2011 est.) ;-0.92 
;;#VALUE!
Bosnia and Herzegovina ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Botswana ;"4.82 migrant(s)/1,000 population 
note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2011 est.) ";4.82 
;;#VALUE!
Brazil ;-0.09 migrant(s)/1,000 population (2011 est.) ;-0.09 
;;#VALUE!
British Virgin Islands ;7.41 migrant(s)/1,000 population (2011 est.) ;7.41 
;;#VALUE!
Brunei ;2.6 migrant(s)/1,000 population (2011 est.) ;2.6 
;;#VALUE!
