Country;Birth rate(births/1,000 population) ;birth_rate;birth_rate
Afghanistan ;37.83 births/1,000 population (2011 est.) ;37.83 ;37.83 
Albania ;12.15 births/1,000 population (2011 est.) ;12.15 ;12.15 
Algeria ;16.69 births/1,000 population (2011 est.) ;16.69 ;16.69 
American Samoa ;22.84 births/1,000 population (2011 est.) ;22.84 ;22.84 
Andorra ;9.66 births/1,000 population (2011 est.) ;9.66 ;9.66 
Angola ;42.91 births/1,000 population (2011 est.) ;42.91 ;42.91 
Anguilla ;12.92 births/1,000 population (2011 est.) ;12.92 ;12.92 
Antigua and Barbuda ;16.31 births/1,000 population (2011 est.) ;16.31 ;16.31 
Argentina ;17.54 births/1,000 population (2011 est.) ;17.54 ;17.54 
Armenia ;12.85 births/1,000 population (2011 est.) ;12.85 ;12.85 
Aruba ;12.78 births/1,000 population (2011 est.) ;12.78 ;12.78 
Australia ;12.33 births/1,000 population (2011 est.) ;12.33 ;12.33 
Austria ;8.67 births/1,000 population (2011 est.) ;8.67 ;8.67 
Azerbaijan ;17.85 births/1,000 population (2011 est.) ;17.85 ;17.85 
Bahamas, The ;16.1 births/1,000 population (2011 est.) ;16.1 ;16.1 
Bahrain ;14.64 births/1,000 population (2011 est.) ;14.64 ;14.64 
Bangladesh ;22.98 births/1,000 population (2011 est.) ;22.98 ;22.98 
Barbados ;12.35 births/1,000 population (2011 est.) ;12.35 ;12.35 
Belarus ;9.76 births/1,000 population (2011 est.) ;9.76 ;9.76 
Belgium ;10.06 births/1,000 population (2011 est.) ;10.06 ;10.06 
Belize ;26.43 births/1,000 population (2011 est.) ;26.43 ;26.43 
Benin ;38.11 births/1,000 population (2011 est.) ;38.11 ;38.11 
Bermuda ;11.42 births/1,000 population (2011 est.) ;11.42 ;11.42 
Bhutan ;19.13 births/1,000 population (2011 est.) ;19.13 ;19.13 
Bolivia ;24.71 births/1,000 population (2011 est.) ;24.71 ;24.71 
Bosnia and Herzegovina ;8.89 births/1,000 population (2011 est.) ;8.89 ;8.89 
Botswana ;22.31 births/1,000 population (2011 est.) ;22.31 ;22.31 
Brazil ;17.79 births/1,000 population (2011 est.) ;17.79 ;17.79 
British Virgin Islands ;14.5 births/1,000 population (2011 est.) ;14.5 ;14.5 
Brunei ;17.87 births/1,000 population (2011 est.) ;17.87 ;17.87 
Bulgaria ;9.32 births/1,000 population (2011 est.) ;9.32 ;9.32 
Burkina Faso ;43.59 births/1,000 population (2011 est.) ;43.59 ;43.59 
Burma ;19.31 births/1,000 population (2011 est.) ;19.31 ;19.31 
Burundi ;41.01 births/1,000 population (2011 est.) ;41.01 ;41.01 
Cambodia ;25.4 births/1,000 population (2011 est.) ;25.4 ;25.4 
Cameroon ;33.04 births/1,000 population (2011 est.) ;33.04 ;33.04 
Canada ;10.28 births/1,000 population (2011 est.) ;10.28 ;10.28 
Cape Verde ;21.47 births/1,000 population (2011 est.) ;21.47 ;21.47 
Cayman Islands ;12.24 births/1,000 population (2011 est.) ;12.24 ;12.24 
Central African Republic ;36.46 births/1,000 population (2011 est.) ;36.46 ;36.46 
Chad ;39.4 births/1,000 population (2011 est.) ;39.4 ;39.4 
Chile ;14.33 births/1,000 population (2011 est.) ;14.33 ;14.33 
China ;12.29 births/1,000 population (2011 est.) ;12.29 ;12.29 
Christmas Island ;NA ;NA ;NA 
Cocos (Keeling) Islands ;NA ;NA ;NA 
Colombia ;17.49 births/1,000 population (2011 est.) ;17.49 ;17.49 
Comoros ;34.19 births/1,000 population (2011 est.) ;34.19 ;34.19 
Congo, Democratic Republic of the ;37.74 births/1,000 population (2011 est.) ;37.74 ;37.74 
Congo, Republic of the ;40.55 births/1,000 population (2011 est.) ;40.55 ;40.55 
Cook Islands ;15.37 births/1,000 population (2011 est.) ;15.37 ;15.37 
Costa Rica ;16.54 births/1,000 population (2011 est.) ;16.54 ;16.54 
Cote d'Ivoire ;30.95 births/1,000 population (2011 est.) ;30.95 ;30.95 
Croatia ;9.6 births/1,000 population (2011 est.) ;9.6 ;9.6 
Cuba ;9.99 births/1,000 population (2011 est.) ;9.99 ;9.99 
Curacao ;NA ;NA ;NA 
Cyprus ;11.41 births/1,000 population (2011 est.) ;11.41 ;11.41 
Czech Republic ;8.7 births/1,000 population (2011 est.) ;8.7 ;8.7 
Denmark ;10.29 births/1,000 population (2011 est.) ;10.29 ;10.29 
Djibouti ;25.27 births/1,000 population (2011 est.) ;25.27 ;25.27 
Dominica ;15.62 births/1,000 population (2011 est.) ;15.62 ;15.62 
Dominican Republic ;19.67 births/1,000 population (2011 est.) ;19.67 ;19.67 
Ecuador ;19.96 births/1,000 population (2011 est.) ;19.96 ;19.96 
Egypt ;24.63 births/1,000 population (2011 est.) ;24.63 ;24.63 
El Salvador ;17.75 births/1,000 population (2011 est.) ;17.75 ;17.75 
Equatorial Guinea ;35.43 births/1,000 population (2011 est.) ;35.43 ;35.43 
Eritrea ;32.8 births/1,000 population (2011 est.) ;32.8 ;32.8 
Estonia ;10.45 births/1,000 population (2011 est.) ;10.45 ;10.45 
Ethiopia ;42.99 births/1,000 population (2011 est.) ;42.99 ;42.99 
European Union ;9.83 births/1,000 population (2010 est.) ;9.83 ;9.83 
Falkland Islands (Islas Malvinas) ;NA ;NA ;NA 
Faroe Islands ;12.95 births/1,000 population (2011 est.) ;12.95 ;12.95 
Fiji ;21.11 births/1,000 population (2011 est.) ;21.11 ;21.11 
Finland ;10.37 births/1,000 population (2011 est.) ;10.37 ;10.37 
France ;12.29 births/1,000 population (2011 est.) ;12.29 ;12.29 
French Polynesia ;15.53 births/1,000 population (2011 est.) ;15.53 ;15.53 
Gabon ;35.19 births/1,000 population (2011 est.) ;35.19 ;35.19 
Gambia, The ;34.19 births/1,000 population (2011 est.) ;34.19 ;34.19 
Gaza Strip ;35.3 births/1,000 population (2011 est.) ;35.3 ;35.3 
Georgia ;10.73 births/1,000 population (2011 est.) ;10.73 ;10.73 
Germany ;8.3 births/1,000 population (2011 est.) ;8.3 ;8.3 
Ghana ;27.55 births/1,000 population (2011 est.) ;27.55 ;27.55 
Gibraltar ;14.23 births/1,000 population (2011 est.) ;14.23 ;14.23 
Greece ;9.21 births/1,000 population (2011 est.) ;9.21 ;9.21 
Greenland ;14.6 births/1,000 population (2011 est.) ;14.6 ;14.6 
Grenada ;17.01 births/1,000 population (2011 est.) ;17.01 ;17.01 
Guam ;17.85 births/1,000 population (2011 est.) ;17.85 ;17.85 
Guatemala ;26.96 births/1,000 population (2011 est.) ;26.96 ;26.96 
Guernsey ;10.13 births/1,000 population (2011 est.) ;10.13 ;10.13 
Guinea ;36.9 births/1,000 population (2011 est.) ;36.9 ;36.9 
Guinea-Bissau ;35.15 births/1,000 population (2011 est.) ;35.15 ;35.15 
Guyana ;17.12 births/1,000 population (2011 est.) ;17.12 ;17.12 
Haiti ;24.4 births/1,000 population (2011 est.) ;24.4 ;24.4 
Honduras ;25.14 births/1,000 population (2011 est.) ;25.14 ;25.14 
Hong Kong ;7.49 births/1,000 population (2011 est.) ;7.49 ;7.49 
Hungary ;9.6 births/1,000 population (2011 est.) ;9.6 ;9.6 
Iceland ;13.29 births/1,000 population (2011 est.) ;13.29 ;13.29 
India ;20.97 births/1,000 population (2011 est.) ;20.97 ;20.97 
Indonesia ;18.1 births/1,000 population (2011 est.) ;18.1 ;18.1 
Iran ;18.55 births/1,000 population (2011 est.) ;18.55 ;18.55 
Iraq ;28.81 births/1,000 population (2011 est.) ;28.81 ;28.81 
Ireland ;16.1 births/1,000 population (2011 est.) ;16.1 ;16.1 
Isle of Man ;11.42 births/1,000 population (2011 est.) ;11.42 ;11.42 
Israel ;19.24 births/1,000 population (2011 est.) ;19.24 ;19.24 
Italy ;9.18 births/1,000 population (2011 est.) ;9.18 ;9.18 
Jamaica ;19.2 births/1,000 population (2011 est.) ;19.2 ;19.2 
Japan ;7.31 births/1,000 population (2011 est.) ;7.31 ;7.31 
Jersey ;10.9 births/1,000 population (2011 est.) ;10.9 ;10.9 
Jordan ;26.79 births/1,000 population (2011 est.) ;26.79 ;26.79 
Kazakhstan ;16.65 births/1,000 population (2011 est.) ;16.65 ;16.65 
Kenya ;33.54 births/1,000 population (2011 est.) ;33.54 ;33.54 
Kiribati ;22.73 births/1,000 population (2011 est.) ;22.73 ;22.73 
Korea, North ;14.51 births/1,000 population (2011 est.) ;14.51 ;14.51 
Korea, South ;8.55 births/1,000 population (2011 est.) ;8.55 ;8.55 
Kuwait ;21.32 births/1,000 population (2011 est.) ;21.32 ;21.32 
Kyrgyzstan ;23.66 births/1,000 population (2011 est.) ;23.66 ;23.66 
Laos ;26.13 births/1,000 population (2011 est.) ;26.13 ;26.13 
Latvia ;9.96 births/1,000 population (2011 est.) ;9.96 ;9.96 
Lebanon ;15.02 births/1,000 population (2011 est.) ;15.02 ;15.02 
Lesotho ;26.93 births/1,000 population (2011 est.) ;26.93 ;26.93 
Liberia ;37.25 births/1,000 population (2011 est.) ;37.25 ;37.25 
Libya ;24.04 births/1,000 population (2011 est.) ;24.04 ;24.04 
Liechtenstein ;9.65 births/1,000 population (2011 est.) ;9.65 ;9.65 
Lithuania ;9.29 births/1,000 population (2011 est.) ;9.29 ;9.29 
Luxembourg ;11.69 births/1,000 population (2011 est.) ;11.69 ;11.69 
Macau ;9.03 births/1,000 population (2011 est.) ;9.03 ;9.03 
Macedonia ;11.87 births/1,000 population (2011 est.) ;11.87 ;11.87 
Madagascar ;37.51 births/1,000 population (2011 est.) ;37.51 ;37.51 
Malawi ;40.85 births/1,000 population (2011 est.) ;40.85 ;40.85 
Malaysia ;21.08 births/1,000 population (2011 est.) ;21.08 ;21.08 
Maldives ;14.83 births/1,000 population (2011 est.) ;14.83 ;14.83 
