Country;Budget surplus (+) or deficit (-)(% of GDP) ;
;;
Afghanistan ;-8.7% of GDP (2012 est.) ;-8.7
;;#VALUE!
Albania ;-6.1% of GDP (2013 est.) ;-6.1
;;#VALUE!
Algeria ;-2.3% of GDP (2013 est.) ;-2.3
;;#VALUE!
American Samoa ;-6.1% of GDP (2007) ;-6.1
;;#VALUE!
Andorra ;-0.3% of GDP (2012) ;-0.3
;;#VALUE!
Angola ;3.4% of GDP (2013 est.) ;3.4
;;#VALUE!
Anguilla ;-5% of GDP (2012 est.) ;-5
;;#VALUE!
Antigua and Barbuda ;-0.8% of GDP (2012 est.) ;-0.8
;;#VALUE!
Argentina ;-3.2% of GDP (2013 est.) ;-3.2
;;#VALUE!
Armenia ;-0.3% of GDP (2013 est.) ;-0.3
;;#VALUE!
Aruba ;-7.5% of GDP (2013 est.) ;-7.5
;;#VALUE!
Australia ;-1.3% of GDP (2013 est.) ;-1.3
;;#VALUE!
Austria ;-2.9% of GDP (2013 est.) ;-2.9
;;#VALUE!
Azerbaijan ;0.5% of GDP (2013 est.) ;0.5
;;#VALUE!
Bahamas, The ;-8.2% of GDP (2012 est.) ;-8.2
;;#VALUE!
Bahrain ;-3.8% of GDP (2013 est.) ;-3.8
;;#VALUE!
Bangladesh ;-4.9% of GDP (2013 est.) ;-4.9
;;#VALUE!
Barbados ;-7% of GDP (2013 est.) ;-7
;;#VALUE!
Belarus ;-0.2% of GDP (2013 est.) ;-0.2
;;#VALUE!
Belgium ;-3.2% of GDP (2013 est.) ;-3.2
;;#VALUE!
Belize ;3.5% of GDP (2013 est.) ;3.5
;;#VALUE!
Benin ;-1.3% of GDP (2013 est.) ;-1.3
;;#VALUE!
Bermuda ;-2.5% of GDP (FY11/12 est.) ;-2.5
;;#VALUE!
Bhutan ;-2.4% of GDP (2013 est.) ;-2.4
;;#VALUE!
Bolivia ;0.1% of GDP (2013 est.) ;0.1
;;#VALUE!
Bosnia and Herzegovina ;1% of GDP (2013 est.) ;1
;;#VALUE!
