Country;Military expenditures(% of GDP) ;
;;
Afghanistan ;"NA% (2012) 
4.74% of GDP (2011) 
NA% (2010) ";NA
;;#VALUE!
Albania ;"1.47% of GDP (2012) 
1.52% of GDP (2011) 
1.47% of GDP (2010) ";1.47
;;#VALUE!
Algeria ;"4.48% of GDP (2012) 
4.36% of GDP (2011) 
4.48% of GDP (2010) ";4.48
;;#VALUE!
Angola ;"3.63% of GDP (2012) 
3.5% of GDP (2011) 
3.63% of GDP (2010) ";3.63
;;#VALUE!
Argentina ;"0.91% of GDP (2012) 
0.9% of GDP (2011) 
0.91% of GDP (2010) ";0.91
;;#VALUE!
Armenia ;"3.92% of GDP (2012) 
3.87% of GDP (2011) 
3.92% of GDP (2010) ";3.92
;;#VALUE!
Australia ;"1.71% of GDP (2012) 
1.84% of GDP (2011) 
1.71% of GDP (2010) ";1.71
;;#VALUE!
Austria ;"0.81% of GDP (2012) 
0.82% of GDP (2011) 
0.81% of GDP (2010) ";0.81
;;#VALUE!
Azerbaijan ;"5.2% of GDP (2013) 
4.64% of GDP (2012) 
4.67% of GDP (2011) 
4.64% of GDP (2010) ";5.2
;;#VALUE!
Bahrain ;"3.14% of GDP (2012) 
3.02% of GDP (2011) 
3.14% of GDP (2010) ";3.14
;;#VALUE!
Bangladesh ;"1.35% of GDP (2012) 
1.44% of GDP (2011) 
1.35% of GDP (2010) ";1.35
;;#VALUE!
Belarus ;"1.2% of GDP (2012) 
1.27% of GDP (2011) 
1.2% of GDP (2010) ";1.2
;;#VALUE!
Belgium ;"1.05% of GDP (2012) 
1.08% of GDP (2011) 
1.05% of GDP (2010) ";1.05
;;#VALUE!
Belize ;"NA% (2012) 
1.08% of GDP (2011) 
NA% (2010) ";NA
;;#VALUE!
Benin ;"1.03% of GDP (2012) 
NA% (2011) 
1.03% of GDP (2010) ";1.03
;;#VALUE!
Bolivia ;"1.47% of GDP (2012) 
1.47% of GDP (2011) 
1.47% of GDP (2010) ";1.47
;;#VALUE!
Bosnia and Herzegovina ;"1.35% of GDP (2012) 
1.15% of GDP (2011) 
1.35% of GDP (2010) ";1.35
;;#VALUE!
Botswana ;"2.31% of GDP (2012) 
2.43% of GDP (2011) 
2.31% of GDP (2010) ";2.31
;;#VALUE!
Brazil ;"1.47% of GDP (2012) 
1.49% of GDP (2011) 
1.47% of GDP (2010) ";1.47
;;#VALUE!
Brunei ;"2.43% of GDP (2012) 
2.54% of GDP (2011) 
2.43% of GDP (2010) ";2.43
;;#VALUE!
Bulgaria ;"1.46% of GDP (2012) 
1.55% of GDP (2011) 
1.46% of GDP (2010) ";1.46
;;#VALUE!
Burkina Faso ;"1.39% of GDP (2012) 
1.34% of GDP (2011) 
1.39% of GDP (2010) ";1.39
;;#VALUE!
Burundi ;"2.39% of GDP (2012) 
NA% (2011) 
2.39% of GDP (2010) ";2.39
;;#VALUE!
Cabo Verde ;"NA% (2012) 
0.51% of GDP (2011) 
NA% (2010) ";NA
;;#VALUE!
Cambodia ;"1.54% of GDP (2012) 
1.5% of GDP (2011) 
1.54% of GDP (2010) ";1.54
;;#VALUE!
Cameroon ;"1.42% of GDP (2012) 
1.37% of GDP (2011) 
1.42% of GDP (2010) ";1.42
;;#VALUE!
