Country;NET MIGRATION RATE(MIGRANT(S)/1,000 POPULATION);
Afghanistan;-1.51 migrant(s)/1,000 population (2015 est.);-1.51
Albania;-3.3 migrant(s)/1,000 population (2015 est.);-3.3
Algeria;-0.92 migrant(s)/1,000 population (2015 est.);-0.92
American Samoa;-21.13 migrant(s)/1,000 population (2015 est.);-21.13
Andorra;0 migrant(s)/1,000 population (2015 est.);0
Angola;0.46 migrant(s)/1,000 population (2015 est.);0.46
Anguilla;12.18 migrant(s)/1,000 population (2015 est.);12.18
Antigua and Barbuda;2.21 migrant(s)/1,000 population (2015 est.);2.21
Argentina;0 migrant(s)/1,000 population (2015 est.);0
Armenia;-5.8 migrant(s)/1,000 population (2015 est.);-5.8
Aruba;8.92 migrant(s)/1,000 population (2015 est.);8.92
Australia;5.65 migrant(s)/1,000 population (2015 est.);5.65
Austria;5.56 migrant(s)/1,000 population (2015 est.);5.56
Azerbaijan;0 migrant(s)/1,000 population (2015 est.);0
Bahamas, The;0 migrant(s)/1,000 population (2015 est.);0
Bahrain;13.09 migrant(s)/1,000 population (2015 est.);13.09
Bangladesh;0.46 migrant(s)/1,000 population (2015 est.);0.46
Barbados;-0.3 migrant(s)/1,000 population (2015 est.);-0.3
Belarus;0.7 migrant(s)/1,000 population (2015 est.);0.7
Belgium;5.87 migrant(s)/1,000 population (2015 est.);5.87
Belize;0 migrant(s)/1,000 population (2015 est.);0
Benin;0 migrant(s)/1,000 population (2015 est.);0
Bermuda;1.88 migrant(s)/1,000 population (2015 est.);1.88
Bhutan;0 migrant(s)/1,000 population (2015 est.);0
Bolivia;-0.62 migrant(s)/1,000 population (2015 est.);-0.62
Bosnia and Herzegovina;-0.38 migrant(s)/1,000 population (2015 est.);-0.38
Botswana;"4.56 migrant(s)/1,000 population
note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2015 est.)";4.56
Brazil;-0.14 migrant(s)/1,000 population (2015 est.);-0.14
British Virgin Islands;17.28 migrant(s)/1,000 population (2015 est.);17.28
Brunei;2.43 migrant(s)/1,000 population (2015 est.);2.43
Bulgaria;-0.29 migrant(s)/1,000 population (2015 est.);-0.29
Burkina Faso;0 migrant(s)/1,000 population (2015 est.);0
Burma;-0.28 migrant(s)/1,000 population (2015 est.);-0.28
Burundi;0 migrant(s)/1,000 population (2015 est.);0
Cabo Verde;-0.63 migrant(s)/1,000 population (2015 est.);-0.63
Cambodia;-0.32 migrant(s)/1,000 population (2015 est.);-0.32
Cameroon;-0.15 migrant(s)/1,000 population (2015 est.);-0.15
Canada;5.66 migrant(s)/1,000 population (2015 est.);5.66
Cayman Islands;"14.4 migrant(s)/1,000 population
note: major destination for Cubans trying to migrate to the US (2015 est.)";14.4
Central African Republic;0 migrant(s)/1,000 population (2015 est.);0
Chad;-3.45 migrant(s)/1,000 population (2015 est.);-3.45
Chile;0.34 migrant(s)/1,000 population (2015 est.);0.34
China;-0.44 migrant(s)/1,000 population (2015 est.);-0.44
Colombia;-0.64 migrant(s)/1,000 population (2015 est.);-0.64
