Country;TAXES AND OTHER REVENUES(% OF GDP);
Afghanistan;22.6% of GDP (2013 est.);22.6
Albania;26% of GDP (2014 est.);26
Algeria;34.9% of GDP (2014 est.);34.9
American Samoa;32.2% of GDP (2013 est.);32.2
Andorra;21.4% of GDP (2012);21.4
Angola;39.2% of GDP (2014 est.);39.2
Anguilla;36.6% of GDP (2014 est.);36.6
Antigua and Barbuda;19.4% of GDP (2014 est.);19.4
Argentina;21.9% of GDP (2014 est.);21.9
Armenia;25.4% of GDP (2014 est.);25.4
Aruba;24.7% of GDP (2014 est.);24.7
Australia;33.3% of GDP (2014 est.);33.3
Austria;50% of GDP (2014 est.);50
Azerbaijan;31.1% of GDP (2014 est.);31.1
Bahamas, The;19.7% of GDP (2014 est.);19.7
Bahrain;22.9% of GDP (2013 est.);22.9
Bangladesh;9.7% of GDP (2014 est.);9.7
Barbados;25.7% of GDP (2014 est.);25.7
Belarus;35.3% of GDP (2014 est.);35.3
Belgium;50.7% of GDP (2014 est.);50.7
Belize;27% of GDP (2014 est.);27
Benin;20.4% of GDP (2014 est.);20.4
Bermuda;17.3% of GDP (FY14/15 est.);17.3
Bhutan;19.5% of GDP (2014 est.);19.5
Bolivia;48.7% of GDP (2014 est.);48.7
Bosnia and Herzegovina;44.4% of GDP (2014 est.);44.4
Botswana;33.4% of GDP (2014 est.);33.4
Brazil;38.4% of GDP (2014 est.);38.4
British Virgin Islands;27.4% of GDP (2014 est.);27.4
Brunei;50.3% of GDP (2014 est.);50.3
Bulgaria;35.6% of GDP (2014 est.);35.6
Burkina Faso;24.2% of GDP (2014 est.);24.2
Burma;4.5% of GDP (2014 est.);4.5
Burundi;27.9% of GDP (2014 est.);27.9
Cabo Verde;24.2% of GDP (2014 est.);24.2
Cambodia;15.8% of GDP (2014 est.);15.8
Cameroon;17.1% of GDP (2014 est.);17.1
Canada;37.6% of GDP (2014 est.);37.6
Cayman Islands;35% of GDP (2014 est.);35
Central African Republic;9.1% of GDP (2014 est.);9.1
Chad;18.2% of GDP (2014 est.);18.2
Chile;19.2% of GDP (2014 est.);19.2
China;22.1% of GDP (2014 est.);22.1
Colombia;28.5% of GDP (2014 est.);28.5
Comoros;24.3% of GDP (2014 est.);24.3
Congo, Democratic Republic of the;14.4% of GDP (2014 est.);14.4
Congo, Republic of the;46.1% of GDP (2014 est.);46.1
Cook Islands;38.7% of GDP (FY05/06 est.);38.7
Costa Rica;13.7% of GDP (2014 est.);13.7
Cote d'Ivoire;21.3% of GDP (2014 est.);21.3
Croatia;34.7% of GDP (2014 est.);34.7
Cuba;2.4% of GDP (2013 est.);2.4
Curacao;16.6% of GDP (2012 est.);16.6
Cyprus;39.3% of GDP (2014 est.);39.3
Czech Republic;41% of GDP (2014 est.);41
Denmark;55.5% of GDP (2014 est.);55.5
Djibouti;35.6% of GDP (2014 est.);35.6
Dominica;28.8% of GDP (2013 est.);28.8
Dominican Republic;15.8% of GDP (2014 est.);15.8
Ecuador;39.3% of GDP (2014 est.);39.3
Egypt;23% of GDP (2014 est.);23
El Salvador;20.3% of GDP (2014 est.);20.3
Equatorial Guinea;33.8% of GDP (2014 est.);33.8
Eritrea;29.6% of GDP (2014 est.);29.6
Estonia;37.2% of GDP (2014 est.);37.2
Ethiopia;15.2% of GDP (2014 est.);15.2
Falkland Islands (Islas Malvinas);40.8% of GDP (FY09/10);40.8
Faroe Islands;44.2% of GDP (2010 est.);44.2
Fiji;32.8% of GDP (2014 est.);32.8
Finland;53% of GDP (2014 est.);53
France;51.9% of GDP (2014 est.);51.9
French Polynesia;26.4% of GDP (2012);26.4
Gabon;27.5% of GDP (2014 est.);27.5
Gambia, The;19.3% of GDP (2014 est.);19.3
Georgia;28.5% of GDP (2014 est.);28.5
Germany;44% of GDP (2014 est.);44
Ghana;23.2% of GDP (2014 est.);23.2
Gibraltar;25.7% of GDP (2008 est.);25.7
Greece;48.5% of GDP (2014 est.);48.5
Greenland;79.6% of GDP (2010);79.6
Grenada;20.1% of GDP (2012 est.);20.1
Guam;24.9% of GDP (2013 est.);24.9
Guatemala;11.6% of GDP (2014 est.);11.6
Guernsey;20.6% of GDP (2005);20.6
Guinea-Bissau;13.7% of GDP (2014 est.);13.7
Guinea;22.5% of GDP (2014 est.);22.5
Guyana;23.3% of GDP (2014 est.);23.3
Haiti;20% of GDP (2014 est.);20
Holy See (Vatican City);NA%;NA
Honduras;17.3% of GDP (2014 est.);17.3
Hong Kong;19.7% of GDP (2014 est.);19.7
Hungary;51.1% of GDP (2014 est.);51.1
