Country;BIRTH RATE(BIRTHS/1,000 POPULATION);
Afghanistan;37.9 births/1,000 population (2017 est.);37.9
Albania;13.2 births/1,000 population (2017 est.);13.2
Algeria;22.2 births/1,000 population (2017 est.);22.2
American Samoa;19.6 births/1,000 population (2017 est.);19.6
Andorra;7.5 births/1,000 population (2017 est.);7.5
Angola;44.2 births/1,000 population (2017 est.);44.2
Anguilla;12.5 births/1,000 population (2017 est.);12.5
Antigua and Barbuda;15.7 births/1,000 population (2017 est.);15.7
Argentina;16.7 births/1,000 population (2017 est.);16.7
Armenia;12.9 births/1,000 population (2017 est.);12.9
Aruba;12.4 births/1,000 population (2017 est.);12.4
Australia;12.1 births/1,000 population (2017 est.);12.1
Austria;9.5 births/1,000 population (2017 est.);9.5
Azerbaijan;15.8 births/1,000 population (2017 est.);15.8
Bahamas, The;15.3 births/1,000 population (2017 est.);15.3
Bahrain;13.3 births/1,000 population (2017 est.);13.3
Bangladesh;18.8 births/1,000 population (2017 est.);18.8
Barbados;11.7 births/1,000 population (2017 est.);11.7
Belarus;10.3 births/1,000 population (2017 est.);10.3
Belgium;11.3 births/1,000 population (2017 est.);11.3
Belize;24 births/1,000 population (2017 est.);24
Benin;35 births/1,000 population (2017 est.);35
Bermuda;11.3 births/1,000 population (2017 est.);11.3
Bhutan;17.3 births/1,000 population (2017 est.);17.3
Bolivia;22 births/1,000 population (2017 est.);22
Bosnia and Herzegovina;8.8 births/1,000 population (2017 est.);8.8
Botswana;22.1 births/1,000 population (2017 est.);22.1
Brazil;14.1 births/1,000 population (2017 est.);14.1
British Virgin Islands;11.1 births/1,000 population (2017 est.);11.1
Brunei;17 births/1,000 population (2017 est.);17
Bulgaria;8.7 births/1,000 population (2017 est.);8.7
Burkina Faso;41.2 births/1,000 population (2017 est.);41.2
Burma;18.1 births/1,000 population (2017 est.);18.1
Burundi;41.3 births/1,000 population (2017 est.);41.3
Cabo Verde;20 births/1,000 population (2017 est.);20
Cambodia;23 births/1,000 population (2017 est.);23
Cameroon;35.4 births/1,000 population (2017 est.);35.4
Canada;10.3 births/1,000 population (2017 est.);10.3
Cayman Islands;12 births/1,000 population (2017 est.);12
Central African Republic;34.3 births/1,000 population (2017 est.);34.3
Chad;35.6 births/1,000 population (2017 est.);35.6
Chile;13.6 births/1,000 population (2017 est.);13.6
China;12.3 births/1,000 population (2017 est.);12.3
Colombia;16.1 births/1,000 population (2017 est.);16.1
Comoros;26.1 births/1,000 population (2017 est.);26.1
Congo, Democratic Republic of the;33.5 births/1,000 population (2017 est.);33.5
Congo, Republic of the;34.4 births/1,000 population (2017 est.);34.4
Cook Islands;14 births/1,000 population (2017 est.);14
Costa Rica;15.5 births/1,000 population (2017 est.);15.5
Cote d'Ivoire;27.7 births/1,000 population (2017 est.);27.7
Croatia;8.9 births/1,000 population (2017 est.);8.9
Cuba;10.7 births/1,000 population (2017 est.);10.7
Curacao;13.7 births/1,000 population (2017 est.);13.7
Cyprus;11.3 births/1,000 population (2017 est.);11.3
Czechia;9.3 births/1,000 population (2017 est.);9.3
Denmark;10.5 births/1,000 population (2017 est.);10.5
Djibouti;23.4 births/1,000 population (2017 est.);23.4
Dominica;15.1 births/1,000 population (2017 est.);15.1
Dominican Republic;18.4 births/1,000 population (2017 est.);18.4
Ecuador;17.9 births/1,000 population (2017 est.);17.9
Egypt;29.6 births/1,000 population (2017 est.);29.6
El Salvador;16.2 births/1,000 population (2017 est.);16.2
Equatorial Guinea;32.2 births/1,000 population (2017 est.);32.2
Eritrea;29.6 births/1,000 population (2017 est.);29.6
Estonia;10.1 births/1,000 population (2017 est.);10.1
Ethiopia;36.5 births/1,000 population (2017 est.);36.5
European Union;10.1 births/1,000 population (2016 est.);10.1
Falkland Islands (Islas Malvinas);10.9 births/1,000 population (2012 est.);10.9
Faroe Islands;14.3 births/1,000 population (2017 est.);14.3
Fiji;18.6 births/1,000 population (2017 est.);18.6
Finland;10.7 births/1,000 population (2017 est.);10.7
France;12.2 births/1,000 population (2017 est.);12.2
French Polynesia;14.8 births/1,000 population (2017 est.);14.8
Gabon;34.2 births/1,000 population (2017 est.);34.2
Gambia, The;29.4 births/1,000 population (2017 est.);29.4
Gaza Strip;31.4 births/1,000 population (2017 est.);31.4
Georgia;12.3 births/1,000 population (2017 est.);12.3
Germany;8.6 births/1,000 population (2017 est.);8.6
Ghana;30.5 births/1,000 population (2017 est.);30.5
Gibraltar;14 births/1,000 population (2017 est.);14
Greece;8.4 births/1,000 population (2017 est.);8.4
Greenland;14.4 births/1,000 population (2017 est.);14.4
Grenada;15.5 births/1,000 population (2017 est.);15.5
Guam;19.7 births/1,000 population (2017 est.);19.7
Guatemala;24.1 births/1,000 population (2017 est.);24.1
Guernsey;9.8 births/1,000 population (2017 est.);9.8
Guinea-Bissau;32.5 births/1,000 population (2017 est.);32.5
Guinea;35.1 births/1,000 population (2017 est.);35.1
Guyana;15.4 births/1,000 population (2017 est.);15.4
Haiti;23 births/1,000 population (2017 est.);23
Honduras;22.4 births/1,000 population (2017 est.);22.4
Hong Kong;8.9 births/1,000 population (2017 est.);8.9
Hungary;9 births/1,000 population (2017 est.);9
Iceland;13.7 births/1,000 population (2017 est.);13.7
India;19 births/1,000 population (2017 est.);19
Indonesia;16.2 births/1,000 population (2017 est.);16.2
Iran;17.9 births/1,000 population (2017 est.);17.9
Iraq;30.4 births/1,000 population (2017 est.);30.4
Ireland;14.1 births/1,000 population (2017 est.);14.1
Isle of Man;11 births/1,000 population (2017 est.);11
Israel;18.1 births/1,000 population (2017 est.);18.1
Italy;8.6 births/1,000 population (2017 est.);8.6
Jamaica;17.9 births/1,000 population (2017 est.);17.9
Japan;7.7 births/1,000 population (2017 est.);7.7
Jersey;12.4 births/1,000 population (2017 est.);12.4
Jordan;23.9 births/1,000 population (2017 est.);23.9
Kazakhstan;18.1 births/1,000 population (2017 est.);18.1
Kenya;23.9 births/1,000 population (2017 est.);23.9
Kiribati;21.2 births/1,000 population (2017 est.);21.2
Korea, North;14.6 births/1,000 population (2017 est.);14.6
Korea, South;8.3 births/1,000 population (2017 est.);8.3
Kuwait;19.2 births/1,000 population (2017 est.);19.2
Kyrgyzstan;22.1 births/1,000 population (2017 est.);22.1
Laos;23.6 births/1,000 population (2017 est.);23.6
Latvia;9.7 births/1,000 population (2017 est.);9.7
Lebanon;14.3 births/1,000 population (2017 est.);14.3
Lesotho;24.6 births/1,000 population (2017 est.);24.6
Liberia;38.3 births/1,000 population (2017 est.);38.3
Libya;17.5 births/1,000 population (2017 est.);17.5
Liechtenstein;10.4 births/1,000 population (2017 est.);10.4
Lithuania;9.9 births/1,000 population (2017 est.);9.9
Luxembourg;11.5 births/1,000 population (2017 est.);11.5
Macau;8.6 births/1,000 population (2017 est.);8.6
Macedonia;11.4 births/1,000 population (2017 est.);11.4
Madagascar;31.6 births/1,000 population (2017 est.);31.6
Malawi;41 births/1,000 population (2017 est.);41
Malaysia;19.1 births/1,000 population (2017 est.);19.1
Maldives;16.1 births/1,000 population (2017 est.);16.1
Mali;43.9 births/1,000 population (2017 est.);43.9
Malta;10.1 births/1,000 population (2017 est.);10.1
Marshall Islands;24.4 births/1,000 population (2017 est.);24.4
Mauritania;30.4 births/1,000 population (2017 est.);30.4
Mauritius;13 births/1,000 population (2017 est.);13
Mexico;18.3 births/1,000 population (2017 est.);18.3
Micronesia, Federated States of;20 births/1,000 population (2017 est.);20
Moldova;11.5 births/1,000 population (2017 est.);11.5
Monaco;6.6 births/1,000 population (2017 est.);6.6
Mongolia;18.9 births/1,000 population (2017 est.);18.9
Montenegro;10 births/1,000 population (2017 est.);10
Montserrat;10.8 births/1,000 population (2017 est.);10.8
Morocco;17.7 births/1,000 population (2017 est.);17.7
Mozambique;38.1 births/1,000 population (2017 est.);38.1
Namibia;27.3 births/1,000 population (2017 est.);27.3
Nauru;24 births/1,000 population (2017 est.);24
Nepal;19.5 births/1,000 population (2017 est.);19.5
Netherlands;10.9 births/1,000 population (2017 est.);10.9
New Caledonia;15 births/1,000 population (2017 est.);15
New Zealand;13.2 births/1,000 population (2017 est.);13.2
Nicaragua;17.7 births/1,000 population (2017 est.);17.7
Nigeria;36.9 births/1,000 population (2017 est.);36.9
Niger;44.2 births/1,000 population (2017 est.);44.2
Northern Mariana Islands;15 births/1,000 population (2017 est.);15
Norway;12.2 births/1,000 population (2017 est.);12.2
Oman;24 births/1,000 population (2017 est.);24
Pakistan;21.9 births/1,000 population (2017 est.);21.9
Palau;11.3 births/1,000 population (2017 est.);11.3
Panama;17.9 births/1,000 population (2017 est.);17.9
Papua New Guinea;23.7 births/1,000 population (2017 est.);23.7
Paraguay;16.6 births/1,000 population (2017 est.);16.6
Peru;17.8 births/1,000 population (2017 est.);17.8
