Country;(%) ;
Venezuela ;29.50;29.50
Guinea ;22.25;22.25
Ukraine ;22.00;22.00
Congo, Democratic Republic of the ;20.00;20.00
Ghana ;20.00;20.00
Vanuatu ;20.00;20.00
Egypt ;19.25;19.25
Mozambique ;19.00;19.00
Malawi ;16.00;16.00
Mali ;16.00;16.00
Sao Tome and Principe ;16.00;16.00
Tajikistan ;16.00;16.00
Azerbaijan ;15.00;15.00
Belarus ;14.00;14.00
Papua New Guinea ;14.00;14.00
Burundi ;11.25;11.25
Seychelles ;11.17;11.17
Kazakhstan ;11.00;11.00
Mongolia ;11.00;11.00
Montserrat ;10.99;10.99
Kenya ;10.00;10.00
Lebanon ;10.00;10.00
Russia ;10.00;10.00
Suriname ;10.00;10.00
Burma ;9.95;9.95
Belize ;9.58;9.58
Libya ;9.52;9.52
Madagascar ;9.50;9.50
Zambia ;9.10;9.10
Angola ;9.00;9.00
Gambia, The ;9.00;9.00
Mauritania ;9.00;9.00
Mauritius ;9.00;9.00
Uganda ;9.00;9.00
Uruguay ;9.00;9.00
Uzbekistan ;9.00;9.00
Equatorial Guinea ;8.50;8.50
Tanzania ;8.25;8.25
Ecuador ;8.17;8.17
Rwanda ;7.75;7.75
Guatemala ;7.53;7.53
Cabo Verde ;7.50;7.50
Eswatini ;7.25;7.25
Mexico ;7.25;7.25
Sri Lanka ;7.25;7.25
Zimbabwe ;7.17;7.17
Barbados ;7.00;7.00
Brazil ;7.00;7.00
Georgia ;7.00;7.00
Maldives ;7.00;7.00
Namibia ;7.00;7.00
Nepal ;7.00;7.00
Lesotho ;6.75;6.75
Trinidad and Tobago ;6.75;6.75
Anguilla ;6.50;6.50
Antigua and Barbuda ;6.50;6.50
Armenia ;6.50;6.50
Dominica ;6.50;6.50
Grenada ;6.50;6.50
Moldova ;6.50;6.50
Morocco ;6.50;6.50
Saint Kitts and Nevis ;6.50;6.50
Saint Lucia ;6.50;6.50
Saint Vincent and the Grenadines ;6.50;6.50
Indonesia ;6.37;6.37
Honduras ;6.25;6.25
Norway ;6.25;6.25
Bhutan ;6.00;6.00
India ;6.00;6.00
Iraq ;6.00;6.00
Pakistan ;5.75;5.75
South Africa ;5.75;5.75
Tunisia ;5.75;5.75
Botswana ;5.50;5.50
Guyana ;5.50;5.50
Paraguay ;5.50;5.50
Iceland ;5.40;5.40
Cambodia ;5.25;5.25
Turkey ;5.25;5.25
Bangladesh ;5.00;5.00
Kyrgyzstan ;5.00;5.00
Qatar ;5.00;5.00
Turkmenistan ;5.00;5.00
Colombia ;4.75;4.75
Bahamas, The ;4.50;4.50
Laos ;4.30;4.30
Benin ;4.25;4.25
Burkina Faso ;4.25;4.25
Cameroon ;4.25;4.25
Central African Republic ;4.25;4.25
Chad ;4.25;4.25
Congo, Republic of the ;4.25;4.25
Cote d'Ivoire ;4.25;4.25
Guinea-Bissau ;4.25;4.25
Niger ;4.25;4.25
Nigeria ;4.25;4.25
Peru ;4.25;4.25
Vietnam ;4.25;4.25
Algeria ;4.00;4.00
Jordan ;3.75;3.75
Philippines ;3.56;3.56
Costa Rica ;3.50;3.50
Serbia ;3.50;3.50
Chile ;3.35;3.35
Jamaica ;3.25;3.25
Macedonia ;3.25;3.25
Liberia ;3.20;3.20
Australia ;3.00;3.00
Croatia ;3.00;3.00
Gabon ;3.00;3.00
Malaysia ;3.00;3.00
Nicaragua ;3.00;3.00
Kuwait ;2.75;2.75
Bolivia ;2.50;2.50
Saudi Arabia ;2.50;2.50
Togo ;2.50;2.50
China ;2.25;2.25
Singapore ;2.15;2.15
Oman ;2.00;2.00
Comoros ;1.93;1.93
Bahrain ;1.75;1.75
Fiji ;1.75;1.75
Hong Kong ;1.75;1.75
New Zealand ;1.75;1.75
Romania ;1.75;1.75
Korea, South ;1.50;1.50
Poland ;1.50;1.50
Thailand ;1.50;1.50
Taiwan ;1.38;1.38
Albania ;1.25;1.25
Finland ;1.25;1.25
Aruba ;1.00;1.00
Canada ;1.00;1.00
Hungary ;0.90;0.90
Syria ;0.75;0.75
Switzerland ;0.50;0.50
United States ;0.50;0.50
Japan ;0.30;0.30
Italy ;0.25;0.25
Senegal ;0.25;0.25
United Kingdom ;0.25;0.25
Israel ;0.10;0.10
Czechia ;0.05;0.05
Greece ;0.05;0.05
Ireland ;0.05;0.05
Spain ;0.05;0.05
Austria ;0.00;0.00
Belgium ;0.00;0.00
Bulgaria ;0.00;0.00
Cyprus ;0.00;0.00
Denmark ;0.00;0.00
Estonia ;0.00;0.00
France ;0.00;0.00
Germany ;0.00;0.00
Latvia ;0.00;0.00
Lithuania ;0.00;0.00
Luxembourg ;0.00;0.00
Netherlands ;0.00;0.00
Portugal ;0.00;0.00
Slovakia ;0.00;0.00
Slovenia ;0.00;0.00
Malta ;-0.35;-0.35
Sweden ;-0.50;-0.50
