Country;(% of GDP) ;
Cuba ;12.80;12.80
Micronesia, Federated States of ;12.50;12.50
Lesotho ;11.40;11.40
Grenada ;10.30;10.30
Solomon Islands ;10.00;10.00
Botswana ;9.60;9.60
Zimbabwe ;8.40;8.40
Namibia ;8.30;8.30
Iceland ;7.80;7.80
Norway ;7.70;7.70
Sweden ;7.70;7.70
Denmark ;7.60;7.60
Timor-Leste ;7.50;7.50
Belize ;7.40;7.40
Bhutan ;7.40;7.40
Bolivia ;7.30;7.30
Finland ;7.20;7.20
Malta ;7.20;7.20
Costa Rica ;7.10;7.10
Eswatini ;7.10;7.10
Senegal ;7.10;7.10
Venezuela ;6.90;6.90
Moldova ;6.70;6.70
Belgium ;6.60;6.60
Tunisia ;6.60;6.60
Aruba ;6.50;6.50
Mozambique ;6.50;6.50
British Virgin Islands ;6.30;6.30
New Zealand ;6.30;6.30
Congo, Republic of the ;6.20;6.20
Ghana ;6.20;6.20
Oman ;6.20;6.20
Cyprus ;6.10;6.10
Kyrgyzstan ;6.00;6.00
Niger ;6.00;6.00
Puerto Rico ;6.00;6.00
Argentina ;5.90;5.90
Brazil ;5.90;5.90
Honduras ;5.90;5.90
South Africa ;5.90;5.90
Ukraine ;5.90;5.90
Saint Vincent and the Grenadines ;5.80;5.80
Gaza Strip ;5.70;5.70
Israel ;5.70;5.70
Saint Lucia ;5.70;5.70
Vietnam ;5.70;5.70
West Bank ;5.70;5.70
United Kingdom ;5.60;5.60
Estonia ;5.50;5.50
France ;5.50;5.50
Netherlands ;5.50;5.50
Vanuatu ;5.50;5.50
Austria ;5.40;5.40
Burundi ;5.40;5.40
Cabo Verde ;5.40;5.40
Jamaica ;5.40;5.40
Canada ;5.30;5.30
Kenya ;5.30;5.30
Latvia ;5.30;5.30
Mexico ;5.30;5.30
Morocco ;5.30;5.30
Slovenia ;5.30;5.30
Australia ;5.20;5.20
Mongolia ;5.20;5.20
Tajikistan ;5.20;5.20
Barbados ;5.10;5.10
Korea, South ;5.10;5.10
Mauritius ;5.10;5.10
Montserrat ;5.10;5.10
Portugal ;5.10;5.10
Saudi Arabia ;5.10;5.10
Switzerland ;5.10;5.10
Syria ;5.10;5.10
Togo ;5.10;5.10
Belarus ;5.00;5.00
Ecuador ;5.00;5.00
Paraguay ;5.00;5.00
United States ;5.00;5.00
Chile ;4.90;4.90
Curacao ;4.90;4.90
Germany ;4.90;4.90
Ireland ;4.90;4.90
Poland ;4.90;4.90
Cote d'Ivoire ;4.80;4.80
Malaysia ;4.80;4.80
Cook Islands ;4.70;4.70
Malawi ;4.70;4.70
Croatia ;4.60;4.60
Hungary ;4.60;4.60
Slovakia ;4.60;4.60
Yemen ;4.60;4.60
Colombia ;4.50;4.50
Djibouti ;4.50;4.50
Ethiopia ;4.50;4.50
Lithuania ;4.50;4.50
Nicaragua ;4.50;4.50
Benin ;4.40;4.40
Brunei ;4.40;4.40
Turkey ;4.40;4.40
Uruguay ;4.40;4.40
Algeria ;4.30;4.30
Comoros ;4.30;4.30
Maldives ;4.30;4.30
Spain ;4.30;4.30
Burkina Faso ;4.20;4.20
Bulgaria ;4.10;4.10
Italy ;4.10;4.10
Samoa ;4.10;4.10
Thailand ;4.10;4.10
Czechia ;4.00;4.00
Luxembourg ;4.00;4.00
Serbia ;4.00;4.00
Fiji ;3.90;3.90
Jordan ;3.90;3.90
Egypt ;3.80;3.80
Georgia ;3.80;3.80
India ;3.80;3.80
Mali ;3.80;3.80
Peru ;3.80;3.80
Russia ;3.80;3.80
Nepal ;3.70;3.70
Sao Tome and Principe ;3.70;3.70
Indonesia ;3.60;3.60
Japan ;3.60;3.60
Qatar ;3.60;3.60
Seychelles ;3.60;3.60
Albania ;3.50;3.50
Angola ;3.50;3.50
El Salvador ;3.50;3.50
Rwanda ;3.50;3.50
Sri Lanka ;3.50;3.50
Tanzania ;3.50;3.50
Dominica ;3.40;3.40
Iran ;3.40;3.40
Andorra ;3.30;3.30
Hong Kong ;3.30;3.30
Turks and Caicos Islands ;3.30;3.30
Afghanistan ;3.20;3.20
Guyana ;3.20;3.20
Panama ;3.20;3.20
Romania ;3.10;3.10
Azerbaijan ;3.00;3.00
Kazakhstan ;3.00;3.00
Macau ;3.00;3.00
Turkmenistan ;3.00;3.00
Chad ;2.90;2.90
Laos ;2.90;2.90
Sierra Leone ;2.90;2.90
Singapore ;2.90;2.90
Anguilla ;2.80;2.80
Armenia ;2.80;2.80
Cameroon ;2.80;2.80
Gambia, The ;2.80;2.80
Guatemala ;2.80;2.80
Liberia ;2.80;2.80
Pakistan ;2.80;2.80
Saint Kitts and Nevis ;2.80;2.80
Bahrain ;2.70;2.70
Gabon ;2.70;2.70
Philippines ;2.70;2.70
Liechtenstein ;2.60;2.60
Mauritania ;2.60;2.60
Antigua and Barbuda ;2.50;2.50
Bangladesh ;2.50;2.50
Lebanon ;2.50;2.50
Guinea ;2.40;2.40
San Marino ;2.40;2.40
Congo, Democratic Republic of the ;2.30;2.30
Uganda ;2.30;2.30
Sudan ;2.20;2.20
Guinea-Bissau ;2.10;2.10
Madagascar ;2.10;2.10
Cambodia ;1.90;1.90
South Sudan ;1.80;1.80
Bermuda ;1.50;1.50
Monaco ;1.40;1.40
Central African Republic ;1.20;1.20
Zambia ;1.10;1.10
Burma ;0.80;0.80
