Country;(% of GDP) ;
Marshall Islands ;17.10;17.10
United States ;17.10;17.10
Tuvalu ;16.50;16.50
Maldives ;13.70;13.70
Micronesia, Federated States of ;13.70;13.70
Sweden ;11.90;11.90
Switzerland ;11.70;11.70
France ;11.50;11.50
Malawi ;11.40;11.40
Germany ;11.30;11.30
Austria ;11.20;11.20
Cuba ;11.10;11.10
Sierra Leone ;11.10;11.10
New Zealand ;11.00;11.00
Netherlands ;10.90;10.90
Denmark ;10.80;10.80
Belgium ;10.60;10.60
Djibouti ;10.60;10.60
Lesotho ;10.60;10.60
Canada ;10.40;10.40
Serbia ;10.40;10.40
Moldova ;10.30;10.30
Japan ;10.20;10.20
Kiribati ;10.20;10.20
Liberia ;10.00;10.00
Paraguay ;9.80;9.80
Finland ;9.70;9.70
Malta ;9.70;9.70
Norway ;9.70;9.70
Bosnia and Herzegovina ;9.60;9.60
Portugal ;9.50;9.50
Australia ;9.40;9.40
Costa Rica ;9.30;9.30
Eswatini ;9.30;9.30
Ecuador ;9.20;9.20
Italy ;9.20;9.20
Slovenia ;9.20;9.20
United Kingdom ;9.10;9.10
Nicaragua ;9.00;9.00
Palau ;9.00;9.00
Spain ;9.00;9.00
Iceland ;8.90;8.90
Namibia ;8.90;8.90
South Africa ;8.80;8.80
Honduras ;8.70;8.70
Saint Vincent and the Grenadines ;8.60;8.60
Uruguay ;8.60;8.60
Bulgaria ;8.40;8.40
Sao Tome and Principe ;8.40;8.40
Sudan ;8.40;8.40
Brazil ;8.30;8.30
Afghanistan ;8.20;8.20
Albania ;8.20;8.20
Andorra ;8.10;8.10
Greece ;8.10;8.10
Slovakia ;8.10;8.10
Panama ;8.00;8.00
Chile ;7.80;7.80
Croatia ;7.80;7.80
Ireland ;7.80;7.80
Israel ;7.80;7.80
Bahamas, The ;7.70;7.70
Haiti ;7.60;7.60
Barbados ;7.50;7.50
Burundi ;7.50;7.50
Jordan ;7.50;7.50
Rwanda ;7.50;7.50
Cyprus ;7.40;7.40
Czechia ;7.40;7.40
