Country;(% of GDP) ;
Oman ;13.73;13.73
South Sudan ;10.93;10.93
Saudi Arabia ;9.85;9.85
Congo, Republic of the ;7.17;7.17
Algeria ;5.81;5.81
Israel ;5.62;5.62
United Arab Emirates ;4.86;4.86
Kuwait ;4.83;4.83
Jordan ;4.80;4.80
Bahrain ;4.59;4.59
Namibia ;4.44;4.44
Russia ;4.24;4.24
Armenia ;4.09;4.09
Burma ;4.08;4.08
Niger ;4.00;4.00
Yemen ;3.97;3.97
Azerbaijan ;3.64;3.64
Iraq ;3.63;3.63
Pakistan ;3.56;3.56
Colombia ;3.50;3.50
Ukraine ;3.50;3.50
Botswana ;3.37;3.37
United States ;3.29;3.29
Morocco ;3.20;3.20
Kyrgyzstan ;3.15;3.15
Singapore ;3.12;3.12
Cuba ;3.08;3.08
Mauritania ;2.97;2.97
Angola ;2.95;2.95
Lebanon ;2.91;2.91
Brunei ;2.87;2.87
Sudan ;2.83;2.83
Chad ;2.79;2.79
Korea, South ;2.70;2.70
Iran ;2.69;2.69
Mali ;2.63;2.63
Timor-Leste ;2.56;2.56
Guinea ;2.49;2.49
India ;2.47;2.47
Vietnam ;2.44;2.44
Greece ;2.40;2.40
Georgia ;2.23;2.23
Burundi ;2.21;2.21
United Kingdom ;2.20;2.20
Zimbabwe ;2.20;2.20
Estonia ;2.17;2.17
Sri Lanka ;2.14;2.14
Tunisia ;2.03;2.03
Australia ;2.00;2.00
China ;2.00;2.00
Lithuania ;2.00;2.00
Poland ;1.99;1.99
Senegal ;1.89;1.89
Chile ;1.87;1.87
Togo ;1.86;1.86
Cambodia ;1.85;1.85
Lesotho ;1.85;1.85
Uruguay ;1.85;1.85
Eswatini ;1.81;1.81
France ;1.79;1.79
Cyprus ;1.78;1.78
Guinea-Bissau ;1.76;1.76
Turkey ;1.73;1.73
Ecuador ;1.70;1.70
Latvia ;1.70;1.70
Montenegro ;1.70;1.70
Egypt ;1.67;1.67
Norway ;1.61;1.61
Cameroon ;1.60;1.60
Honduras ;1.59;1.59
Uganda ;1.57;1.57
Bulgaria ;1.53;1.53
Zambia ;1.53;1.53
Nepal ;1.52;1.52
Bolivia ;1.50;1.50
Thailand ;1.50;1.50
Gambia, The ;1.48;1.48
Bangladesh ;1.44;1.44
Gabon ;1.43;1.43
Guyana ;1.42;1.42
Romania ;1.42;1.42
Kenya ;1.40;1.40
Portugal ;1.36;1.36
Netherlands ;1.35;1.35
Congo, Democratic Republic of the ;1.34;1.34
Serbia ;1.34;1.34
Brazil ;1.32;1.32
Canada ;1.29;1.29
Seychelles ;1.29;1.29
Philippines ;1.28;1.28
Croatia ;1.27;1.27
Paraguay ;1.25;1.25
Germany ;1.24;1.24
Burkina Faso ;1.23;1.23
Finland ;1.23;1.23
Albania ;1.22;1.22
Denmark ;1.21;1.21
Rwanda ;1.21;1.21
Tajikistan ;1.19;1.19
Cote d'Ivoire ;1.18;1.18
Belize ;1.17;1.17
Slovakia ;1.16;1.16
Benin ;1.14;1.14
Tanzania ;1.14;1.14
Italy ;1.12;1.12
Trinidad and Tobago ;1.12;1.12
Malaysia ;1.11;1.11
New Zealand ;1.10;1.10
South Africa ;1.07;1.07
Mozambique ;1.03;1.03
Hungary ;1.01;1.01
Sweden ;1.00;1.00
Venezuela ;1.00;1.00
Bosnia and Herzegovina ;0.99;0.99
Czechia ;0.98;0.98
Fiji ;0.98;0.98
Slovenia ;0.98;0.98
Argentina ;0.95;0.95
Belarus ;0.93;0.93
Belgium ;0.93;0.93
Japan ;0.93;0.93
Spain ;0.93;0.93
Macedonia ;0.90;0.90
Peru ;0.90;0.90
Afghanistan ;0.89;0.89
El Salvador ;0.87;0.87
Indonesia ;0.84;0.84
Jamaica ;0.82;0.82
Kazakhstan ;0.82;0.82
Sierra Leone ;0.81;0.81
Kosovo ;0.79;0.79
Mongolia ;0.72;0.72
Switzerland ;0.71;0.71
Ethiopia ;0.67;0.67
Papua New Guinea ;0.66;0.66
Dominican Republic ;0.64;0.64
Cabo Verde ;0.63;0.63
Liberia ;0.62;0.62
Malawi ;0.61;0.61
Nicaragua ;0.61;0.61
Austria ;0.58;0.58
Mexico ;0.58;0.58
Luxembourg ;0.55;0.55
Madagascar ;0.53;0.53
Malta ;0.53;0.53
Nigeria ;0.43;0.43
Ghana ;0.40;0.40
Guatemala ;0.37;0.37
Moldova ;0.37;0.37
Ireland ;0.34;0.34
Laos ;0.20;0.20
Mauritius ;0.19;0.19
Equatorial Guinea ;0.18;0.18
Iceland ;0.10;0.10
Somalia ;0.00;0.00
