Country;(migrant(s)/1,000 population) ;
Syria ;57.00;57.00
British Virgin Islands ;16.10;16.10
Luxembourg ;14.80;14.80
Cayman Islands ;13.60;13.60
Singapore ;12.70;12.70
Bahrain ;11.60;11.60
Anguilla ;11.50;11.50
Qatar ;11.50;11.50
Turks and Caicos Islands ;9.30;9.30
Aruba ;8.60;8.60
Cyprus ;8.30;8.30
Malta ;7.80;7.80
Spain ;7.50;7.50
San Marino ;7.20;7.20
Gabon ;7.00;7.00
Monaco ;6.50;6.50
United Arab Emirates ;6.30;6.30
Sint Maarten ;6.20;6.20
Isle of Man ;5.80;5.80
Canada ;5.70;5.70
Djibouti ;5.50;5.50
Australia ;5.40;5.40
Western Sahara ;5.40;5.40
Norway ;5.30;5.30
Sweden ;5.30;5.30
Belgium ;5.20;5.20
Liechtenstein ;5.00;5.00
Switzerland ;4.60;4.60
Ukraine ;4.60;4.60
Austria ;4.40;4.40
Denmark ;4.30;4.30
Saudi Arabia ;4.10;4.10
Ireland ;4.00;4.00
New Caledonia ;3.90;3.90
United States ;3.80;3.80
Iceland ;3.70;3.70
Italy ;3.60;3.60
Macau ;3.30;3.30
Botswana ;3.00;3.00
Jersey ;2.90;2.90
Finland ;2.80;2.80
United Kingdom ;2.50;2.50
Korea, South ;2.40;2.40
Brunei ;2.30;2.30
Czechia ;2.30;2.30
Greece ;2.30;2.30
New Zealand ;2.20;2.20
Antigua and Barbuda ;2.10;2.10
Guernsey ;2.10;2.10
Israel ;2.10;2.10
Netherlands ;1.90;1.90
Sudan ;1.90;1.90
Bermuda ;1.70;1.70
Hong Kong ;1.70;1.70
Russia ;1.70;1.70
Germany ;1.50;1.50
Cote d'Ivoire ;1.30;1.30
Hungary ;1.30;1.30
Saint Kitts and Nevis ;1.20;1.20
France ;1.10;1.10
Seychelles ;1.00;1.00
Slovenia ;1.00;1.00
Libya ;0.90;0.90
Taiwan ;0.90;0.90
Costa Rica ;0.80;0.80
Palau ;0.80;0.80
Belarus ;0.70;0.70
Macedonia ;0.70;0.70
