Country;(% (of GDP)) ;
Tuvalu ;25.60;25.60
Macau ;10.00;10.00
Palau ;8.80;8.80
Micronesia, Federated States of ;6.60;6.60
Greenland ;5.60;5.60
Hong Kong ;5.20;5.20
Cayman Islands ;4.80;4.80
Norway ;4.40;4.40
Malta ;3.90;3.90
Saint Pierre and Miquelon ;3.80;3.80
Northern Mariana Islands ;3.70;3.70
Grenada ;3.20;3.20
Cook Islands ;3.00;3.00
Belarus ;2.90;2.90
Bosnia and Herzegovina ;2.10;2.10
Bulgaria ;1.80;1.80
Cyprus ;1.80;1.80
Saint Kitts and Nevis ;1.70;1.70
Czechia ;1.60;1.60
Liechtenstein ;1.60;1.60
New Zealand ;1.60;1.60
Iceland ;1.50;1.50
Luxembourg ;1.50;1.50
Korea, South ;1.40;1.40
Germany ;1.30;1.30
Marshall Islands ;1.30;1.30
Sweden ;1.30;1.30
French Polynesia ;1.20;1.20
Guernsey ;1.20;1.20
Denmark ;1.10;1.10
Gibraltar ;1.10;1.10
Netherlands ;1.10;1.10
Switzerland ;1.10;1.10
Anguilla ;0.90;0.90
Croatia ;0.80;0.80
Greece ;0.80;0.80
Jamaica ;0.50;0.50
Lithuania ;0.50;0.50
West Bank ;0.40;0.40
Isle of Man ;0.30;0.30
Saint Lucia ;0.30;0.30
Uzbekistan ;0.30;0.30
Serbia ;0.20;0.20
British Virgin Islands ;0.00;0.00
New Caledonia ;0.00;0.00
Slovenia ;0.00;0.00
Tonga ;0.00;0.00
Nepal ;-0.10;-0.10
Somalia ;-0.10;-0.10
Taiwan ;-0.10;-0.10
United Arab Emirates ;-0.20;-0.20
Estonia ;-0.30;-0.30
Ireland ;-0.30;-0.30
Mauritius ;-0.30;-0.30
Singapore ;-0.30;-0.30
Curacao ;-0.40;-0.40
Jersey ;-0.40;-0.40
Korea, North ;-0.40;-0.40
Virgin Islands ;-0.40;-0.40
Australia ;-0.50;-0.50
Guinea ;-0.50;-0.50
Latvia ;-0.50;-0.50
Seychelles ;-0.50;-0.50
Finland ;-0.60;-0.60
Moldova ;-0.60;-0.60
Saint Vincent and the Grenadines ;-0.60;-0.60
Austria ;-0.70;-0.70
Puerto Rico ;-0.70;-0.70
Mauritania ;-0.80;-0.80
Wallis and Futuna ;-0.80;-0.80
Central African Republic ;-0.90;-0.90
Congo, Democratic Republic of the ;-0.90;-0.90
Vanuatu ;-0.90;-0.90
Belgium ;-1.00;-1.00
Belize ;-1.00;-1.00
Botswana ;-1.00;-1.00
Canada ;-1.00;-1.00
Guam ;-1.00;-1.00
Haiti ;-1.00;-1.00
Monaco ;-1.00;-1.00
Slovakia ;-1.00;-1.00
Brazil ;-1.10;-1.10
Mexico ;-1.10;-1.10
Paraguay ;-1.10;-1.10
Guatemala ;-1.30;-1.30
Guinea-Bissau ;-1.30;-1.30
South Sudan ;-1.30;-1.30
Russia ;-1.40;-1.40
Chad ;-1.50;-1.50
Tajikistan ;-1.50;-1.50
Turkey ;-1.50;-1.50
Ukraine ;-1.50;-1.50
Azerbaijan ;-1.60;-1.60
Panama ;-1.60;-1.60
Faroe Islands ;-1.70;-1.70
Poland ;-1.70;-1.70
Cambodia ;-1.80;-1.80
Kazakhstan ;-1.80;-1.80
Nigeria ;-1.80;-1.80
Tanzania ;-1.80;-1.80
Gabon ;-1.90;-1.90
United Kingdom ;-1.90;-1.90
Albania ;-2.00;-2.00
Hungary ;-2.00;-2.00
Israel ;-2.00;-2.00
Nicaragua ;-2.00;-2.00
American Samoa ;-2.10;-2.10
Kosovo ;-2.10;-2.10
Philippines ;-2.20;-2.20
Iran ;-2.30;-2.30
Italy ;-2.30;-2.30
Antigua and Barbuda ;-2.40;-2.40
Sao Tome and Principe ;-2.40;-2.40
El Salvador ;-2.50;-2.50
Bahamas, The ;-2.60;-2.60
France ;-2.60;-2.60
Gambia, The ;-2.60;-2.60
Aruba ;-2.70;-2.70
Colombia ;-2.70;-2.70
Honduras ;-2.70;-2.70
Indonesia ;-2.70;-2.70
Macedonia ;-2.70;-2.70
Madagascar ;-2.70;-2.70
Chile ;-2.80;-2.80
Romania ;-2.80;-2.80
Turkmenistan ;-2.80;-2.80
Bermuda ;-2.90;-2.90
Mali ;-2.90;-2.90
San Marino ;-2.90;-2.90
Solomon Islands ;-2.90;-2.90
Cabo Verde ;-3.00;-3.00
Dominican Republic ;-3.00;-3.00
Malaysia ;-3.00;-3.00
Portugal ;-3.00;-3.00
Peru ;-3.10;-3.10
Spain ;-3.10;-3.10
Bangladesh ;-3.20;-3.20
Burma ;-3.20;-3.20
Ethiopia ;-3.20;-3.20
Kyrgyzstan ;-3.20;-3.20
Equatorial Guinea ;-3.30;-3.30
Bhutan ;-3.40;-3.40
Cameroon ;-3.40;-3.40
Malawi ;-3.40;-3.40
United States ;-3.40;-3.40
India ;-3.50;-3.50
Japan ;-3.50;-3.50
Thailand ;-3.50;-3.50
Uruguay ;-3.50;-3.50
Morocco ;-3.60;-3.60
Senegal ;-3.60;-3.60
China ;-3.80;-3.80
Georgia ;-3.80;-3.80
Togo ;-3.80;-3.80
Barbados ;-4.00;-4.00
Falkland Islands (Islas Malvinas) ;-4.00;-4.00
Fiji ;-4.00;-4.00
Uganda ;-4.10;-4.10
Cote d'Ivoire ;-4.20;-4.20
Iraq ;-4.20;-4.20
Liberia ;-4.30;-4.30
Rwanda ;-4.30;-4.30
South Africa ;-4.40;-4.40
Ecuador ;-4.50;-4.50
Guyana ;-4.50;-4.50
Samoa ;-4.70;-4.70
Armenia ;-4.80;-4.80
Papua New Guinea ;-4.80;-4.80
Niger ;-5.00;-5.00
Jordan ;-5.10;-5.10
Yemen ;-5.20;-5.20
Laos ;-5.50;-5.50
Namibia ;-5.50;-5.50
Sri Lanka ;-5.50;-5.50
Montenegro ;-5.60;-5.60
Mozambique ;-5.60;-5.60
Burundi ;-5.70;-5.70
Pakistan ;-5.80;-5.80
Qatar ;-5.80;-5.80
Tunisia ;-5.80;-5.80
Dominica ;-5.90;-5.90
Argentina ;-6.00;-6.00
Ghana ;-6.00;-6.00
Lesotho ;-6.00;-6.00
Costa Rica ;-6.10;-6.10
Benin ;-6.20;-6.20
Mongolia ;-6.40;-6.40
Comoros ;-6.50;-6.50
Angola ;-6.70;-6.70
Kenya ;-6.70;-6.70
Vietnam ;-6.70;-6.70
Andorra ;-6.90;-6.90
Lebanon ;-6.90;-6.90
Congo, Republic of the ;-7.00;-7.00
Zambia ;-7.30;-7.30
Bolivia ;-7.80;-7.80
Suriname ;-7.80;-7.80
Burkina Faso ;-7.90;-7.90
Sierra Leone ;-7.90;-7.90
Trinidad and Tobago ;-8.20;-8.20
Eswatini ;-8.50;-8.50
Egypt ;-8.60;-8.60
Syria ;-8.70;-8.70
Saudi Arabia ;-8.90;-8.90
Djibouti ;-9.00;-9.00
Nauru ;-9.20;-9.20
Algeria ;-9.60;-9.60
Zimbabwe ;-9.60;-9.60
Eritrea ;-9.80;-9.80
Kuwait ;-10.00;-10.00
Bahrain ;-10.10;-10.10
Maldives ;-10.10;-10.10
Sudan ;-10.60;-10.60
Cuba ;-10.80;-10.80
Niue ;-12.60;-12.60
Oman ;-13.80;-13.80
Afghanistan ;-15.10;-15.10
Brunei ;-17.30;-17.30
Libya ;-25.10;-25.10
Venezuela ;-46.10;-46.10
Kiribati ;-64.10;-64.10
Timor-Leste ;-75.70;-75.70
