Country;GDP - per capita (PPP) ;
Liechtenstein ;$139,100 ;139,100 
Macau ;$122,000 ;122,000 
Monaco ;$115,700 ;115,700 
Luxembourg ;$112,009 ;112,009 
Bermuda ;$99,400 ;99,400 
Norway ;$91,781 ;91,781 
Isle of Man ;$84,600 ;84,600 
Switzerland ;$81,475 ;81,475 
Ireland ;$81,340 ;81,340 
Brunei ;$78,900 ;78,900 
Falkland Islands (Islas Malvinas) ;$70,800 ;70,800 
United Arab Emirates ;$68,600 ;68,600 
Sint Maarten ;$66,800 ;66,800 
Denmark ;$66,351 ;66,351 
Australia ;$62,753 ;62,753 
Qatar ;$62,019 ;62,019 
Gibraltar ;$61,700 ;61,700 
Sweden ;$59,699 ;59,699 
San Marino ;$59,000 ;59,000 
Singapore ;$57,853 ;57,853 
Jersey ;$56,600 ;56,600 
Netherlands ;$56,329 ;56,329 
United States ;$55,761 ;55,761 
Iceland ;$54,696 ;54,696 
Saudi Arabia ;$54,500 ;54,500 
Guernsey ;$52,500 ;52,500 
Canada ;$52,205 ;52,205 
Germany ;$50,800 ;50,800 
Austria ;$50,205 ;50,205 
Andorra ;$49,900 ;49,900 
Finland ;$49,380 ;49,380 
Japan ;$48,979 ;48,979 
Belgium ;$47,478 ;47,478 
Saint Pierre and Miquelon ;$46,200 ;46,200 
Oman ;$46,000 ;46,000 
France ;$45,739 ;45,739 
Cayman Islands ;$43,800 ;43,800 
United Kingdom ;$43,111 ;43,111 
Greenland ;$41,800 ;41,800 
Faroe Islands ;$40,000 ;40,000 
New Zealand ;$39,815 ;39,815 
Puerto Rico ;$39,400 ;39,400 
Hong Kong ;$38,293 ;38,293 
Israel ;$37,527 ;37,527 
Aruba ;$37,500 ;37,500 
Malta ;$37,300 ;37,300 
Virgin Islands ;$37,000 ;37,000 
Guam ;$35,600 ;35,600 
Italy ;$35,589 ;35,589 
British Virgin Islands ;$34,200 ;34,200 
Montserrat ;$34,000 ;34,000 
Spain ;$33,698 ;33,698 
Kuwait ;$33,087 ;33,087 
Bahamas, The ;$32,400 ;32,400 
New Caledonia ;$31,100 ;31,100 
Korea, South ;$28,941 ;28,941 
Saint Kitts and Nevis ;$28,200 ;28,200 
Slovenia ;$27,631 ;27,631 
Turks and Caicos Islands ;$27,100 ;27,100 
Antigua and Barbuda ;$26,400 ;26,400 
Czechia ;$25,816 ;25,816 
Portugal ;$24,808 ;24,808 
Greece ;$24,588 ;24,588 
Taiwan ;$24,502 ;24,502 
Northern Mariana Islands ;$24,500 ;24,500 
Cyprus ;$23,948 ;23,948 
Bahrain ;$23,441 ;23,441 
Uruguay ;$22,400 ;22,400 
Mauritius ;$22,300 ;22,300 
Slovakia ;$21,066 ;21,066 
Estonia ;$20,897 ;20,897 
Iran ;$20,100 ;20,100 
Lebanon ;$19,600 ;19,600 
Saint Martin ;$19,300 ;19,300 
Maldives ;$19,200 ;19,200 
Lithuania ;$18,844 ;18,844 
Poland ;$18,768 ;18,768 
Barbados ;$18,600 ;18,600 
Montenegro ;$17,800 ;17,800 
Hungary ;$17,749 ;17,749 
Botswana ;$17,000 ;17,000 
Dominican Republic ;$17,000 ;17,000 
French Polynesia ;$17,000 ;17,000 
Croatia ;$16,923 ;16,923 
Costa Rica ;$16,900 ;16,900 
Latvia ;$16,778 ;16,778 
Cook Islands ;$16,700 ;16,700 
Algeria ;$15,200 ;15,200 
Trinidad and Tobago ;$15,185 ;15,185 
Grenada ;$15,100 ;15,100 
Chile ;$15,098 ;15,098 
Turkey ;$15,075 ;15,075 
Curacao ;$15,000 ;15,000 
Seychelles ;$14,955 ;14,955 
Macedonia ;$14,900 ;14,900 
Suriname ;$14,900 ;14,900 
Palau ;$14,700 ;14,700 
Saint Lucia ;$14,400 ;14,400 
Mongolia ;$13,700 ;13,700 
Russia ;$12,842 ;12,842 
Paraguay ;$12,800 ;12,800 
Malaysia ;$12,482 ;12,482 
Cuba ;$12,300 ;12,300 
Nauru ;$12,300 ;12,300 
Anguilla ;$12,200 ;12,200 
Romania ;$12,011 ;12,011 
Panama ;$11,910 ;11,910 
Tunisia ;$11,900 ;11,900 
Kazakhstan ;$11,845 ;11,845 
Saint Vincent and the Grenadines ;$11,500 ;11,500 
American Samoa ;$11,200 ;11,200 
Brazil ;$11,117 ;11,117 
Dominica ;$11,000 ;11,000 
Georgia ;$10,700 ;10,700 
Mexico ;$10,275 ;10,275 
Bulgaria ;$9,888 ;9,888 
Argentina ;$9,807 ;9,807 
Fiji ;$9,800 ;9,800 
Armenia ;$9,500 ;9,500 
Equatorial Guinea ;$9,228 ;9,228 
Jamaica ;$9,200 ;9,200 
Gabon ;$9,119 ;9,119 
Bhutan ;$9,000 ;9,000 
Belize ;$8,300 ;8,300 
Guatemala ;$8,200 ;8,200 
Libya ;$8,141 ;8,141 
Guyana ;$8,100 ;8,100 
China ;$8,041 ;8,041 
El Salvador ;$8,000 ;8,000 
Namibia ;$7,873 ;7,873 
Colombia ;$7,838 ;7,838 
Saint Helena, Ascension, and Tristan da Cunha ;$7,800 ;7,800 
Venezuela ;$7,704 ;7,704 
Turkmenistan ;$7,644 ;7,644 
Ukraine ;$7,439 ;7,439 
Laos ;$7,400 ;7,400 
South Africa ;$7,341 ;7,341 
Serbia ;$7,268 ;7,268 
Uzbekistan ;$6,900 ;6,900 
Congo, Republic of the ;$6,800 ;6,800 
Belarus ;$6,695 ;6,695 
Bosnia and Herzegovina ;$6,641 ;6,641 
Thailand ;$6,623 ;6,623 
Peru ;$6,550 ;6,550 
Burma ;$6,300 ;6,300 
Tokelau ;$6,004 ;6,004 
Timor-Leste ;$6,000 ;6,000 
Nicaragua ;$5,900 ;5,900 
Nigeria ;$5,900 ;5,900 
Tonga ;$5,900 ;5,900 
Azerbaijan ;$5,863 ;5,863 
Niue ;$5,800 ;5,800 
Samoa ;$5,700 ;5,700 
Iraq ;$5,604 ;5,604 
Honduras ;$5,600 ;5,600 
Albania ;$5,156 ;5,156 
Ecuador ;$5,097 ;5,097 
Eswatini ;$4,821 ;4,821 
Ghana ;$4,700 ;4,700 
Indonesia ;$4,455 ;4,455 
West Bank ;$4,300 ;4,300 
Kosovo ;$4,281 ;4,281 
Sri Lanka ;$4,103 ;4,103 
Cambodia ;$4,000 ;4,000 
Zambia ;$4,000 ;4,000 
Cabo Verde ;$3,980 ;3,980 
Tuvalu ;$3,800 ;3,800 
Wallis and Futuna ;$3,800 ;3,800 
Cameroon ;$3,700 ;3,700 
Papua New Guinea ;$3,700 ;3,700 
Djibouti ;$3,600 ;3,600 
Marshall Islands ;$3,600 ;3,600 
Morocco ;$3,450 ;3,450 
Micronesia, Federated States of ;$3,400 ;3,400 
Philippines ;$3,340 ;3,340 
Jordan ;$3,291 ;3,291 
Tajikistan ;$3,200 ;3,200 
Angola ;$3,097 ;3,097 
Egypt ;$2,943 ;2,943 
Syria ;$2,900 ;2,900 
Nepal ;$2,700 ;2,700 
Vanuatu ;$2,700 ;2,700 
Bolivia ;$2,579 ;2,579 
Yemen ;$2,500 ;2,500 
Moldova ;$2,441 ;2,441 
Uganda ;$2,400 ;2,400 
Solomon Islands ;$2,200 ;2,200 
Vietnam ;$2,125 ;2,125 
India ;$2,100 ;2,100 
Rwanda ;$2,100 ;2,100 
Afghanistan ;$2,000 ;2,000 
Kiribati ;$2,000 ;2,000 
Sudan ;$1,929 ;1,929 
Haiti ;$1,800 ;1,800 
Korea, North ;$1,700 ;1,700 
Cote d'Ivoire ;$1,692 ;1,692 
Eritrea ;$1,600 ;1,600 
Sierra Leone ;$1,600 ;1,600 
South Sudan ;$1,600 ;1,600 
Senegal ;$1,583 ;1,583 
Comoros ;$1,406 ;1,406 
Pakistan ;$1,404 ;1,404 
Lesotho ;$1,384 ;1,384 
Kenya ;$1,354 ;1,354 
Zimbabwe ;$1,306 ;1,306 
Mozambique ;$1,300 ;1,300 
Bangladesh ;$1,281 ;1,281 
Benin ;$1,224 ;1,224 
Malawi ;$1,200 ;1,200 
Kyrgyzstan ;$1,127 ;1,127 
Tanzania ;$959 ;959 
Guinea ;$937 ;937 
Burkina Faso ;$821 ;821 
Gambia, The ;$815 ;815 
Chad ;$813 ;813 
Mali ;$792 ;792 
Central African Republic ;$700 ;700 
Togo ;$672 ;672 
Guinea-Bissau ;$598 ;598 
Ethiopia ;$537 ;537 
Liberia ;$516 ;516 
Madagascar ;$497 ;497 
Niger ;$472 ;472 
Congo, Democratic Republic of the ;$421 ;421 
Burundi ;$208 ;208 
Mauritania ;$175 ;175 
Sao Tome and Principe ;$1 ;1 
