Country;Current Health Expenditure;
Afghanistan ;11.8% (2017) ;11.8
Albania ;6.7% (2016) ;6.7
Algeria ;6.4% (2017) ;6.4
Andorra ;10.3% (2017) ;10.3
Angola ;2.8% (2017) ;2.8
Antigua and Barbuda ;4.5% (2017) ;4.5
Argentina ;9.1% (2017) ;9.1
Armenia ;10.4% (2017) ;10.4
Australia ;9.2% (2017) ;9.2
Austria ;10.4% (2017) ;10.4
Azerbaijan ;6.7% (2017) ;6.7
Bahamas, The ;5.8% (2017) ;5.8
Bahrain ;4.7% (2017) ;4.7
Bangladesh ;2.3% (2017) ;2.3
Barbados ;6.8% (2017) ;6.8
Belarus ;5.9% (2017) ;5.9
Belgium ;10.3% (2017) ;10.3
Belize ;5.6% (2017) ;5.6
Benin ;3.7% (2017) ;3.7
Bhutan ;3.2% (2017) ;3.2
Bolivia ;6.4% (2017) ;6.4
Bosnia and Herzegovina ;8.9% (2017) ;8.9
Botswana ;6.1% (2017) ;6.1
Brazil ;9.5% (2017) ;9.5
Brunei ;2.4% (2017) ;2.4
Bulgaria ;8.1% (2017) ;8.1
Burkina Faso ;6.9% (2017) ;6.9
Burma ;4.7% (2017) ;4.7
Burundi ;7.5% (2017) ;7.5
Cabo Verde ;5.2% (2017) ;5.2
Cambodia ;5.9% (2017) ;5.9
Cameroon ;4.7% (2017) ;4.7
Canada ;10.6% (2017) ;10.6
Central African Republic ;5.8% (2017) ;5.8
Chad ;4.5% (2017) ;4.5
Chile ;9% (2017) ;9
China ;5.2% (2017) ;5.2
Colombia ;7.2% (2017) ;7.2
Comoros ;7.4% (2017) ;7.4
Congo, Democratic Republic of the ;4% (2017) ;4
Congo, Republic of the ;2.9% (2017) ;2.9
Cook Islands ;3.3% (2017) ;3.3
Costa Rica ;7.3% (2017) ;7.3
Cote d'Ivoire ;4.5% (2017) ;4.5
Croatia ;6.8% (2017) ;6.8
Cuba ;11.7% (2017) ;11.7
Cyprus ;6.7% (2017) ;6.7
Czechia ;7.2% (2017) ;7.2
Denmark ;10.1% (2017) ;10.1
Djibouti ;3.3% (2017) ;3.3
Dominica ;5.9% (2017) ;5.9
Dominican Republic ;6.1% (2017) ;6.1
Ecuador ;8.3% (2017) ;8.3
Egypt ;5.3% (2017) ;5.3
El Salvador ;7.2% (2017) ;7.2
Equatorial Guinea ;3.1% (2017) ;3.1
Eritrea ;2.9% (2017) ;2.9
Estonia ;6.4% (2017) ;6.4
Eswatini ;6.9% (2017) ;6.9
Ethiopia ;3.5% (2017) ;3.5
European Union ;9.9% (2016) ;9.9
Fiji ;3.5% (2017) ;3.5
Finland ;9.2% (2017) ;9.2
France ;11.3% (2017) ;11.3
Gabon ;2.8% (2017) ;2.8
Gambia, The ;3.3% (2017) ;3.3
Georgia ;7.6% (2017) ;7.6
Germany ;11.2% (2017) ;11.2
Ghana ;3.3% (2017) ;3.3
Greece ;8% (2017) ;8
Grenada ;4.8% (2017) ;4.8
Guatemala ;5.8% (2017) ;5.8
Guernsey ;;#VALUE!
Guinea ;4.1% (2017) ;4.1
Guinea-Bissau ;7.2% (2017) ;7.2
Guyana ;4.9% (2017) ;4.9
Haiti ;8% (2017) ;8
Honduras ;7.9% (2017) ;7.9
Hungary ;6.9% (2017) ;6.9
Iceland ;8.3% (2017) ;8.3
India ;3.5% (2017) ;3.5
Indonesia ;3% (2017) ;3
Iran ;8.7% (2017) ;8.7
Iraq ;4.2% (2017) ;4.2
Ireland ;7.2% (2017) ;7.2
Israel ;7.4% (2017) ;7.4
Italy ;8.8% (2017) ;8.8
Jamaica ;6% (2017) ;6
Japan ;10.9% (2017) ;10.9
Jordan ;8.1% (2017) ;8.1
Kazakhstan ;3.1% (2017) ;3.1
Kenya ;4.8% (2017) ;4.8
Kiribati ;10.8% (2017) ;10.8
Korea, South ;7.6% (2017) ;7.6
Kuwait ;5.3% (2017) ;5.3
Kyrgyzstan ;6.2% (2017) ;6.2
Laos ;2.5% (2017) ;2.5
Latvia ;6% (2017) ;6
Lebanon ;8.2% (2017) ;8.2
Lesotho ;8.8% (2017) ;8.8
Liberia ;8.2% (2017) ;8.2
Lithuania ;6.5% (2017) ;6.5
Luxembourg ;5.5% (2017) ;5.5
Madagascar ;5.5% (2017) ;5.5
Malawi ;9.6% (2017) ;9.6
Malaysia ;3.9% (2017) ;3.9
Maldives ;9% (2017) ;9
Mali ;3.8% (2017) ;3.8
Malta ;9.3% (2017) ;9.3
Marshall Islands ;16.4% (2017) ;16.4
Mauritania ;4.4% (2017) ;4.4
Mauritius ;5.7% (2017) ;5.7
Mexico ;5.5% (2017) ;5.5
Micronesia, Federated States of ;12.4% (2017) ;12.4
Moldova ;7% (2017) ;7
Monaco ;1.8% (2017) ;1.8
Mongolia ;4% (2017) ;4
Montenegro ;7.6% (2016) ;7.6
Morocco ;5.2% (2017) ;5.2
Mozambique ;4.9% (2017) ;4.9
Namibia ;8.6% (2017) ;8.6
Nauru ;11% (2017) ;11
Nepal ;5.6% (2017) ;5.6
Netherlands ;10.1% (2017) ;10.1
New Zealand ;9.2% (2017) ;9.2
Nicaragua ;8.6% (2017) ;8.6
Niger ;7.7% (2017) ;7.7
Nigeria ;3.8% (2017) ;3.8
Niue ;8.6% (2017) ;8.6
North Macedonia ;6.1% (2017) ;6.1
Norway ;10.4% (2017) ;10.4
Oman ;3.8% (2017) ;3.8
Pakistan ;2.9% (2017) ;2.9
Palau ;12% (2017) ;12
Panama ;7.3% (2017) ;7.3
Papua New Guinea ;2.5% (2017) ;2.5
Paraguay ;6.7% (2017) ;6.7
Peru ;5% (2017) ;5
Philippines ;4.4% (2017) ;4.4
Poland ;6.5% (2017) ;6.5
Portugal ;9% (2017) ;9
Qatar ;2.6% (2017) ;2.6
Romania ;5.2% (2017) ;5.2
Russia ;5.3% (2017) ;5.3
Rwanda ;6.6% (2017) ;6.6
Saint Kitts and Nevis ;5% (2017) ;5
Saint Lucia ;4.5% (2017) ;4.5
Saint Vincent and the Grenadines ;4.5% (2017) ;4.5
Samoa ;5.5% (2017) ;5.5
San Marino ;7.4% (2017) ;7.4
Sao Tome and Principe ;6.2% (2017) ;6.2
Saudi Arabia ;5.2% (2017) ;5.2
Senegal ;4.1% (2017) ;4.1
Serbia ;8.4% (2017) ;8.4
Seychelles ;5% (2017) ;5
Sierra Leone ;13.4% (2017) ;13.4
