Country;(births/1,000 population) ;
Niger ;47.50;47.50
Angola ;42.70;42.70
Uganda ;42.30;42.30
Mali ;42.20;42.20
Benin ;42.10;42.10
Chad ;41.70;41.70
Congo, Democratic Republic of the ;41.00;41.00
Zambia ;40.40;40.40
Malawi ;40.10;40.10
South Sudan ;38.80;38.80
Somalia ;38.70;38.70
Mozambique ;38.60;38.60
Liberia ;37.30;37.30
Guinea-Bissau ;36.90;36.90
Afghanistan ;36.70;36.70
Burundi ;36.50;36.50
Cameroon ;36.30;36.30
Guinea ;36.10;36.10
Sierra Leone ;35.40;35.40
Burkina Faso ;35.10;35.10
Nigeria ;34.60;34.60
Tanzania ;34.60;34.60
Sudan ;33.80;33.80
Zimbabwe ;33.60;33.60
Central African Republic ;33.20;33.20
Congo, Republic of the ;32.60;32.60
Timor-Leste ;32.00;32.00
Togo ;32.00;32.00
Senegal ;31.80;31.80
Ethiopia ;31.60;31.60
Equatorial Guinea ;30.70;30.70
Madagascar ;29.90;29.90
Sao Tome and Principe ;29.70;29.70
Ghana ;29.60;29.60
Cote d'Ivoire ;29.10;29.10
Mauritania ;29.00;29.00
Gaza Strip ;28.60;28.60
Eritrea ;27.90;27.90
Rwanda ;27.90;27.90
Pakistan ;27.40;27.40
Egypt ;27.20;27.20
Kenya ;27.20;27.20
Gambia, The ;27.00;27.00
Gabon ;26.30;26.30
Yemen ;25.80;25.80
Iraq ;25.70;25.70
Namibia ;25.70;25.70
West Bank ;25.20;25.20
Eswatini ;24.50;24.50
Syria ;23.80;23.80
Comoros ;23.60;23.60
Solomon Islands ;23.60;23.60
Tuvalu ;23.40;23.40
Guatemala ;23.30;23.30
Lesotho ;23.20;23.20
Oman ;23.10;23.10
Jordan ;23.00;23.00
Libya ;23.00;23.00
Philippines ;22.90;22.90
Marshall Islands ;22.80;22.80
Djibouti ;22.70;22.70
Papua New Guinea ;22.50;22.50
Laos ;22.40;22.40
Vanuatu ;22.40;22.40
Belize ;22.00;22.00
Nauru ;21.90;21.90
Tajikistan ;21.80;21.80
Haiti ;21.70;21.70
Cambodia ;21.30;21.30
Tonga ;21.00;21.00
Botswana ;20.90;20.90
Bolivia ;20.80;20.80
Kyrgyzstan ;20.60;20.60
Kiribati ;20.50;20.50
Algeria ;20.00;20.00
Samoa ;19.60;19.60
South Africa ;19.20;19.20
Cabo Verde ;19.10;19.10
Guam ;18.90;18.90
Micronesia, Federated States of ;18.90;18.90
El Salvador ;18.60;18.60
Dominican Republic ;18.50;18.50
