Country;% of GDP;
Kiribati;12.40;12.40
Greenland;10.60;10.60
Solomon Islands;10.10;10.10
Micronesia, Federated States of;9.70;9.70
Marshall Islands;9.60;9.60
Namibia;9.40;9.40
Sierra Leone;9.30;9.30
Montserrat;9.10;9.10
Faroe Islands;8.20;8.20
Tonga;8.00;8.00
Belize;7.90;7.90
Denmark;7.80;7.80
Iceland;7.60;7.60
Norway;7.60;7.60
Sweden;7.60;7.60
Lesotho;7.40;7.40
Bolivia;7.30;7.30
Tunisia;7.30;7.30
Suriname;7.20;7.20
Bhutan;6.90;6.90
Botswana;6.90;6.90
South Africa;6.80;6.80
Timor-Leste;6.80;6.80
Costa Rica;6.70;6.70
Kuwait;6.60;6.60
Belgium;6.40;6.40
Finland;6.30;6.30
Israel;6.20;6.20
Mozambique;6.20;6.20
Algeria;6.10;6.10
Brazil;6.10;6.10
Moldova;6.10;6.10
Puerto Rico;6.10;6.10
New Zealand;6.00;6.00
Sao Tome and Principe;5.90;5.90
Burkina Faso;5.80;5.80
Cyprus;5.80;5.80
Saint Vincent and the Grenadines;5.70;5.70
Tajikistan;5.70;5.70
Aruba;5.50;5.50
Chile;5.40;5.40
France;5.40;5.40
Jamaica;5.40;5.40
Kyrgyzstan;5.40;5.40
Netherlands;5.40;5.40
Oman;5.40;5.40
Ukraine;5.40;5.40
Canada;5.30;5.30
Eswatini;5.30;5.30
Gaza Strip;5.30;5.30
Senegal;5.30;5.30
West Bank;5.30;5.30
Austria;5.20;5.20
Estonia;5.20;5.20
United Kingdom;5.20;5.20
Australia;5.10;5.10
Burundi;5.10;5.10
Ethiopia;5.10;5.10
Fiji;5.10;5.10
Kenya;5.10;5.10
Uzbekistan;5.10;5.10
Belarus;5.00;5.00
Dominica;5.00;5.00
Germany;5.00;5.00
Togo;5.00;5.00
United States;5.00;5.00
Curacao;4.90;4.90
Honduras;4.90;4.90
Mongolia;4.90;4.90
Slovenia;4.90;4.90
Switzerland;4.90;4.90
Argentina;4.80;4.80
Samoa;4.80;4.80
Cabo Verde;4.70;4.70
Malta;4.70;4.70
Portugal;4.70;4.70
Russia;4.70;4.70
Uruguay;4.70;4.70
Hungary;4.60;4.60
Mauritius;4.60;4.60
Poland;4.60;4.60
Colombia;4.50;4.50
Guyana;4.50;4.50
Korea, South;4.50;4.50
Zambia;4.50;4.50
Brunei;4.40;4.40
Hong Kong;4.40;4.40
Nepal;4.40;4.40
Barbados;4.30;4.30
Czechia;4.30;4.30
Italy;4.30;4.30
Mexico;4.30;4.30
Turkey;4.30;4.30
Latvia;4.20;4.20
Malaysia;4.20;4.20
Peru;4.20;4.20
Spain;4.20;4.20
Bulgaria;4.10;4.10
Ecuador;4.10;4.10
Maldives;4.10;4.10
Vietnam;4.10;4.10
Dominican Republic;4.00;4.00
Ghana;4.00;4.00
Slovakia;4.00;4.00
Albania;3.90;3.90
Congo, Republic of the;3.90;3.90
Croatia;3.90;3.90
Egypt;3.90;3.90
Lithuania;3.90;3.90
Seychelles;3.90;3.90
Georgia;3.80;3.80
Cote d'Ivoire;3.70;3.70
Iran;3.70;3.70
Luxembourg;3.70;3.70
Anguilla;3.60;3.60
Djibouti;3.60;3.60
Greece;3.60;3.60
Grenada;3.60;3.60
Saint Lucia;3.60;3.60
Serbia;3.60;3.60
Trinidad and Tobago;3.60;3.60
Zimbabwe;3.60;3.60
China;3.50;3.50
Cook Islands;3.50;3.50
India;3.50;3.50
Niger;3.50;3.50
Paraguay;3.50;3.50
Turks and Caicos Islands;3.50;3.50
El Salvador;3.40;3.40
Ireland;3.40;3.40
Mali;3.40;3.40
Nicaragua;3.40;3.40
Rwanda;3.40;3.40
San Marino;3.40;3.40
Antigua and Barbuda;3.30;3.30
Guatemala;3.30;3.30
Romania;3.30;3.30
Afghanistan;3.20;3.20
Andorra;3.20;3.20
Japan;3.20;3.20
Philippines;3.20;3.20
Qatar;3.20;3.20
Cameroon;3.10;3.10
Macau;3.10;3.10
Panama;3.10;3.10
Tanzania;3.10;3.10
Turkmenistan;3.10;3.10
United Arab Emirates;3.10;3.10
Benin;3.00;3.00
Jordan;3.00;3.00
Thailand;3.00;3.00
Uganda;3.00;3.00
British Virgin Islands;2.90;2.90
Gambia, The;2.90;2.90
Guinea-Bissau;2.90;2.90
Kazakhstan;2.90;2.90
Laos;2.90;2.90
Madagascar;2.90;2.90
Malawi;2.90;2.90
Gabon;2.80;2.80
Indonesia;2.80;2.80
Armenia;2.70;2.70
Azerbaijan;2.70;2.70
Lebanon;2.60;2.60
Liechtenstein;2.60;2.60
Saint Kitts and Nevis;2.60;2.60
Bahamas, The;2.50;2.50
Comoros;2.50;2.50
Pakistan;2.50;2.50
Singapore;2.50;2.50
Chad;2.40;2.40
Bahrain;2.30;2.30
Liberia;2.30;2.30
Vanuatu;2.30;2.30
Cambodia;2.20;2.20
Guinea;2.20;2.20
Sri Lanka;2.10;2.10
Burma;2.00;2.00
Mauritania;1.90;1.90
Papua New Guinea;1.90;1.90
Angola;1.80;1.80
Central African Republic;1.80;1.80
Haiti;1.70;1.70
Congo, Democratic Republic of the;1.50;1.50
South Sudan;1.50;1.50
Bangladesh;1.30;1.30
Bermuda;1.30;1.30
Venezuela;1.30;1.30
Monaco;1.20;1.20
