Country;% (of GDP);
Tuvalu;106.7;106.7
Nauru;90.3;90.3
Greenland;77.4;77.4
Kiribati;76.8;76.8
Andorra;69.0;69.0
Palau;66.1;66.1
Micronesia, Federated States of;65.2;65.2
Cuba;58.1;58.1
Norway;54.4;54.4
France;53.8;53.8
Finland;53.1;53.1
Denmark;53.0;53.0
Marshall Islands;52.6;52.6
Libya;51.6;51.6
Belgium;51.3;51.3
Sweden;50.6;50.6
Greece;48.8;48.8
Austria;48.3;48.3
Anguilla;46.7;46.7
Italy;46.6;46.6
Croatia;46.1;46.1
Germany;45.0;45.0
Hungary;44.5;44.5
Luxembourg;44.4;44.4
Venezuela;44.2;44.2
Bosnia and Herzegovina;44.0;44.0
Netherlands;43.4;43.4
Slovenia;43.1;43.1
Portugal;42.9;42.9
Serbia;42.7;42.7
Iceland;42.4;42.4
Kuwait;41.8;41.8
Solomon Islands;41.0;41.0
Dominica;40.9;40.9
Belarus;40.7;40.7
San Marino;40.6;40.6
Czechia;40.5;40.5
Malta;40.4;40.4
Bolivia;39.9;39.9
Cyprus;39.9;39.9
Estonia;39.9;39.9
Tonga;39.8;39.8
Lesotho;39.7;39.7
Seychelles;39.6;39.6
Poland;39.5;39.5
French Polynesia;39.4;39.4
Slovakia;39.4;39.4
Canada;39.3;39.3
United Kingdom;39.1;39.1
British Virgin Islands;38.9;38.9
Cayman Islands;38.9;38.9
Spain;37.9;37.9
American Samoa;37.8;37.8
Latvia;37.5;37.5
Montenegro;37.2;37.2
New Zealand;36.8;36.8
Brazil;35.7;35.7
Bulgaria;35.7;35.7
Iraq;35.7;35.7
Switzerland;35.7;35.7
Australia;35.5;35.5
Djibouti;35.3;35.3
Japan;35.2;35.2
Eritrea;34.9;34.9
Lithuania;33.7;33.7
Falkland Islands (Islas Malvinas);32.5;32.5
Algeria;32.3;32.3
Namibia;32.2;32.2
Ecuador;32.0;32.0
Saint Kitts and Nevis;31.9;31.9
Tajikistan;31.8;31.8
Northern Mariana Islands;31.4;31.4
Oman;31.3;31.3
Uzbekistan;31.2;31.2
Botswana;30.5;30.5
Faroe Islands;30.2;30.2
Moldova;30.2;30.2
Belize;29.9;29.9
Uruguay;29.8;29.8
Fiji;29.7;29.7
Jamaica;29.7;29.7
Barbados;29.4;29.4
Angola;29.3;29.3
Romania;29.3;29.3
Macau;29.2;29.2
Cook Islands;29.0;29.0
Kosovo;29.0;29.0
Virgin Islands;28.9;28.9
United Arab Emirates;28.8;28.8
Georgia;28.7;28.7
Kyrgyzstan;28.7;28.7
Saint Vincent and the Grenadines;28.7;28.7
Eswatini;28.6;28.6
Samoa;28.2;28.2
Guyana;28.1;28.1
Nicaragua;28.0;28.0
Cabo Verde;27.8;27.8
Albania;27.6;27.6
Mauritania;27.4;27.4
Bhutan;27.2;27.2
Vanuatu;27.2;27.2
Peru;27.1;27.1
Saint Pierre and Miquelon;26.8;26.8
Mozambique;26.7;26.7
Mongolia;26.6;26.6
South Africa;26.6;26.6
Ukraine;26.6;26.6
Colombia;26.5;26.5
Israel;26.5;26.5
Maldives;26.4;26.4
Qatar;26.4;26.4
Saudi Arabia;26.4;26.4
Sao Tome and Principe;26.2;26.2
Ireland;26.0;26.0
Grenada;25.8;25.8
Comoros;25.3;25.3
Aruba;25.2;25.2
Vietnam;24.8;24.8
Tunisia;24.7;24.7
Trinidad and Tobago;24.5;24.5
Nepal;23.8;23.8
El Salvador;23.7;23.7
Jordan;23.6;23.6
Saint Lucia;23.6;23.6
Azerbaijan;23.5;23.5
Gibraltar;23.3;23.3
Hong Kong;23.2;23.2
Korea, South;23.2;23.2
Armenia;22.9;22.9
Mexico;22.7;22.7
Congo, Republic of the;22.5;22.5
Mauritius;22.5;22.5
Kazakhstan;22.3;22.3
Malawi;21.7;21.7
Lebanon;21.5;21.5
Togo;21.5;21.5
Zimbabwe;21.5;21.5
Guam;21.4;21.4
Niger;21.4;21.4
China;21.3;21.3
Rwanda;21.3;21.3
Burkina Faso;21.2;21.2
Morocco;20.9;20.9
Chile;20.8;20.8
Guernsey;20.6;20.6
New Caledonia;20.4;20.4
Gambia, The;20.3;20.3
Ghana;20.3;20.3
Honduras;20.3;20.3
Turkey;20.3;20.3
Panama;20.1;20.1
Mali;20.0;20.0
Antigua and Barbuda;19.6;19.6
Senegal;19.6;19.6
Cote d'Ivoire;19.1;19.1
Argentina;18.9;18.9
Brunei;18.5;18.5
Sudan;18.5;18.5
Papua New Guinea;18.4;18.4
Laos;18.3;18.3
Guinea-Bissau;18.2;18.2
Haiti;18.2;18.2
Cambodia;17.9;17.9
Egypt;17.9;17.9
Bahamas, The;17.6;17.6
Gabon;17.6;17.6
Kenya;17.6;17.6
Zambia;17.4;17.4
Iran;17.3;17.3
Benin;17.1;17.1
United States;17.0;17.0
Equatorial Guinea;16.9;16.9
Liberia;16.9;16.9
Wallis and Futuna;16.7;16.7
Bahrain;16.6;16.6
Curacao;16.6;16.6
Guinea;16.6;16.6
Jersey;16.6;16.6
Malaysia;16.4;16.4
Russia;16.4;16.4
Suriname;16.4;16.4
Bermuda;16.3;16.3
