Country;% of GDP;
Marshall Islands;13.6;13.6
Solomon Islands;12.8;12.8
Kiribati;12.4;12.4
Greenland;10.2;10.2
Bolivia;9.8;9.8
Micronesia, Federated States of;9.7;9.7
Namibia;9.6;9.6
Sierra Leone;9.1;9.1
Belize;8.7;8.7
Botswana;8.7;8.7
Lesotho;8.7;8.7
Saudi Arabia;7.8;7.8
Iceland;7.7;7.7
Cabo Verde;7.6;7.6
Faroe Islands;7.6;7.6
Curacao;7.4;7.4
Tunisia;7.3;7.3
Sweden;7.2;7.2
Israel;7.1;7.1
Nauru;7.1;7.1
Algeria;7.0;7.0
Bhutan;7.0;7.0
Morocco;6.8;6.8
Palau;6.8;6.8
Belgium;6.7;6.7
Costa Rica;6.7;6.7
Estonia;6.6;6.6
Kuwait;6.6;6.6
South Africa;6.6;6.6
Tonga;6.6;6.6
Barbados;6.5;6.5
Denmark;6.4;6.4
Honduras;6.4;6.4
Moldova;6.4;6.4
Macau;6.3;6.3
Mozambique;6.3;6.3
Kyrgyzstan;6.2;6.2
Australia;6.1;6.1
Cyprus;6.1;6.1
United States;6.1;6.1
Brazil;6.0;6.0
Jamaica;6.0;6.0
Latvia;6.0;6.0
New Zealand;6.0;6.0
Finland;5.9;5.9
Malta;5.9;5.9
Norway;5.9;5.9
Tajikistan;5.9;5.9
Maldives;5.8;5.8
Slovenia;5.8;5.8
Fiji;5.7;5.7
Saint Vincent and the Grenadines;5.7;5.7
Chile;5.6;5.6
Aruba;5.5;5.5
Burkina Faso;5.5;5.5
Croatia;5.5;5.5
Dominica;5.5;5.5
France;5.5;5.5
Senegal;5.5;5.5
United Kingdom;5.5;5.5
Montserrat;5.4;5.4
Oman;5.4;5.4
Ukraine;5.4;5.4
Gaza Strip;5.3;5.3
Netherlands;5.3;5.3
West Bank;5.3;5.3
Canada;5.2;5.2
Poland;5.2;5.2
Seychelles;5.2;5.2
Switzerland;5.2;5.2
Austria;5.1;5.1
Czechia;5.1;5.1
Argentina;5.0;5.0
Burundi;5.0;5.0
Eswatini;5.0;5.0
Luxembourg;5.0;5.0
Portugal;5.0;5.0
Sao Tome and Principe;5.0;5.0
Suriname;5.0;5.0
Colombia;4.9;4.9
Mauritius;4.9;4.9
Uzbekistan;4.9;4.9
Hungary;4.8;4.8
Kenya;4.8;4.8
Samoa;4.8;4.8
Belarus;4.7;4.7
Germany;4.7;4.7
Iraq;4.7;4.7
Korea, South;4.7;4.7
Mongolia;4.7;4.7
Cook Islands;4.6;4.6
Dominican Republic;4.6;4.6
Nicaragua;4.6;4.6
Slovakia;4.6;4.6
Spain;4.6;4.6
Uruguay;4.6;4.6
Congo, Republic of the;4.5;4.5
Ethiopia;4.5;4.5
Guyana;4.5;4.5
India;4.5;4.5
Kazakhstan;4.5;4.5
Turks and Caicos Islands;4.5;4.5
Brunei;4.4;4.4
Greece;4.4;4.4
Mali;4.4;4.4
Azerbaijan;4.3;4.3
Italy;4.3;4.3
Mexico;4.3;4.3
Nepal;4.2;4.2
Timor-Leste;4.2;4.2
El Salvador;4.1;4.1
Trinidad and Tobago;4.1;4.1
Vietnam;4.1;4.1
Anguilla;4.0;4.0
Bulgaria;4.0;4.0
Hong Kong;4.0;4.0
Lithuania;4.0;4.0
Peru;4.0;4.0
Togo;4.0;4.0
Ghana;3.9;3.9
Malaysia;3.9;3.9
Panama;3.9;3.9
United Arab Emirates;3.9;3.9
Zimbabwe;3.9;3.9
Antigua and Barbuda;3.8;3.8
Niger;3.8;3.8
Rwanda;3.8;3.8
Ecuador;3.7;3.7
Philippines;3.7;3.7
Romania;3.7;3.7
Russia;3.7;3.7
Zambia;3.7;3.7
China;3.6;3.6
Djibouti;3.6;3.6
Georgia;3.6;3.6
Grenada;3.6;3.6
Iran;3.6;3.6
Puerto Rico;3.6;3.6
Saint Lucia;3.6;3.6
Serbia;3.6;3.6
Indonesia;3.5;3.5
Cote d'Ivoire;3.4;3.4
Japan;3.4;3.4
San Marino;3.4;3.4
Turkey (Turkiye);3.4;3.4
Paraguay;3.3;3.3
Tanzania;3.3;3.3
Cameroon;3.2;3.2
Gabon;3.2;3.2
Jordan;3.2;3.2
Qatar;3.2;3.2
Thailand;3.2;3.2
Albania;3.1;3.1
Cambodia;3.1;3.1
Guatemala;3.1;3.1
Ireland;3.1;3.1
Madagascar;3.1;3.1
Turkmenistan;3.1;3.1
Benin;3.0;3.0
Afghanistan;2.9;2.9
Andorra;2.9;2.9
Chad;2.9;2.9
Malawi;2.9;2.9
Armenia;2.8;2.8
Bahamas, The;2.8;2.8
Gambia, The;2.8;2.8
Singapore;2.8;2.8
Congo, Democratic Republic of the;2.7;2.7
Guinea-Bissau;2.7;2.7
Liberia;2.7;2.7
Uganda;2.7;2.7
British Virgin Islands;2.6;2.6
Comoros;2.6;2.6
Liechtenstein;2.6;2.6
Egypt;2.5;2.5
Saint Kitts and Nevis;2.5;2.5
Angola;2.4;2.4
Pakistan;2.4;2.4
Laos;2.3;2.3
Bahrain;2.2;2.2
Central African Republic;2.2;2.2
Guinea;2.2;2.2
Vanuatu;2.2;2.2
Bangladesh;2.1;2.1
Burma;2.1;2.1
Cayman Islands;2.1;2.1
Bermuda;1.9;1.9
Mauritania;1.9;1.9
Sri Lanka;1.9;1.9
Lebanon;1.7;1.7
South Sudan;1.5;1.5
Haiti;1.4;1.4
Papua New Guinea;1.4;1.4
Venezuela;1.3;1.3
Monaco;1.2;1.2
Nigeria;0.5;0.5
Somalia;0.3;0.3
