Country;% of GDP;
Eritrea;10.00;10.00
Oman;8.00;8.00
Kuwait;6.80;6.80
Syria;6.50;6.50
Saudi Arabia;6.00;6.00
Algeria;5.60;5.60
Somalia;5.60;5.60
United Arab Emirates;5.60;5.60
Azerbaijan;5.20;5.20
Venezuela;5.20;5.20
Israel;5.00;5.00
Jordan;5.00;5.00
Morocco;4.50;4.50
Armenia;4.40;4.40
Cuba;4.20;4.20
Pakistan;4.00;4.00
Qatar;4.00;4.00
Russia;4.00;4.00
Ukraine;4.00;4.00
Greece;3.80;3.80
Iraq;3.70;3.70
Bahrain;3.60;3.60
Djibouti;3.50;3.50
Mali;3.50;3.50
United States;3.50;3.50
Burma;3.40;3.40
Afghanistan;3.30;3.30
Lebanon;3.20;3.20
Singapore;3.20;3.20
Brunei;3.10;3.10
Botswana;3.00;3.00
Colombia;3.00;3.00
Namibia;3.00;3.00
Tunisia;3.00;3.00
Uzbekistan;2.80;2.80
Korea, South;2.60;2.60
Zimbabwe;2.60;2.60
Cambodia;2.50;2.50
Chad;2.50;2.50
Congo, Republic of the;2.50;2.50
Lithuania;2.50;2.50
Mauritania;2.50;2.50
Uganda;2.50;2.50
Burkina Faso;2.40;2.40
Poland;2.40;2.40
Vietnam;2.40;2.40
Estonia;2.35;2.35
Iran;2.30;2.30
Uruguay;2.30;2.30
India;2.20;2.20
Taiwan;2.20;2.20
Latvia;2.10;2.10
Tonga;2.10;2.10
United Kingdom;2.10;2.10
Australia;2.00;2.00
Burundi;2.00;2.00
Chile;2.00;2.00
Croatia;2.00;2.00
Cyprus;2.00;2.00
Ecuador;2.00;2.00
Finland;2.00;2.00
Romania;2.00;2.00
Slovakia;2.00;2.00
South Sudan;2.00;2.00
France;1.90;1.90
Serbia;1.90;1.90
Sri Lanka;1.90;1.90
Turkmenistan;1.90;1.90
Central African Republic;1.80;1.80
Guinea-Bissau;1.80;1.80
Montenegro;1.80;1.80
Niger;1.80;1.80
North Macedonia;1.80;1.80
Timor-Leste;1.80;1.80
Togo;1.80;1.80
Bulgaria;1.70;1.70
Eswatini;1.70;1.70
Gabon;1.70;1.70
Georgia;1.70;1.70
Hungary;1.70;1.70
Kyrgyzstan;1.70;1.70
Netherlands;1.70;1.70
Senegal;1.70;1.70
Albania;1.60;1.60
Honduras;1.60;1.60
Norway;1.60;1.60
Italy;1.55;1.55
China;1.50;1.50
Fiji;1.50;1.50
Germany;1.50;1.50
Guinea;1.50;1.50
Lesotho;1.50;1.50
Portugal;1.50;1.50
Seychelles;1.50;1.50
Angola;1.40;1.40
Bolivia;1.40;1.40
Canada;1.40;1.40
Denmark;1.40;1.40
Jamaica;1.40;1.40
New Zealand;1.40;1.40
Rwanda;1.40;1.40
Brazil;1.30;1.30
Czechia;1.30;1.30
Egypt;1.30;1.30
Equatorial Guinea;1.30;1.30
Nepal;1.30;1.30
Sweden;1.30;1.30
Thailand;1.30;1.30
Zambia;1.30;1.30
Belarus;1.20;1.20
Belgium;1.20;1.20
Belize;1.20;1.20
El Salvador;1.20;1.20
Kenya;1.20;1.20
Mozambique;1.20;1.20
Panama;1.20;1.20
Slovenia;1.20;1.20
Suriname;1.20;1.20
Tajikistan;1.20;1.20
Turkey (Turkiye);1.20;1.20
Bangladesh;1.10;1.10
Cote d'Ivoire;1.10;1.10
Peru;1.10;1.10
Philippines;1.10;1.10
Tanzania;1.10;1.10
Cameroon;1.00;1.00
Guyana;1.00;1.00
Japan;1.00;1.00
Kazakhstan;1.00;1.00
Kosovo;1.00;1.00
Malaysia;1.00;1.00
Paraguay;1.00;1.00
Spain;1.00;1.00
Sudan;1.00;1.00
Trinidad and Tobago;1.00;1.00
Austria;0.90;0.90
Bosnia and Herzegovina;0.90;0.90
Malawi;0.90;0.90
Argentina;0.80;0.80
Bahamas, The;0.80;0.80
Barbados;0.80;0.80
Gambia, The;0.80;0.80
Indonesia;0.80;0.80
Mexico;0.80;0.80
Mongolia;0.80;0.80
South Africa;0.80;0.80
Benin;0.70;0.70
Congo, Democratic Republic of the;0.70;0.70
Costa Rica;0.70;0.70
Dominican Republic;0.70;0.70
Liberia;0.70;0.70
Madagascar;0.70;0.70
Nigeria;0.70;0.70
Switzerland;0.70;0.70
Luxembourg;0.60;0.60
Nicaragua;0.60;0.60
Cabo Verde;0.50;0.50
Ethiopia;0.50;0.50
Ghana;0.50;0.50
Malta;0.50;0.50
Guatemala;0.40;0.40
Moldova;0.40;0.40
Papua New Guinea;0.40;0.40
Ireland;0.30;0.30
Sierra Leone;0.30;0.30
Laos;0.20;0.20
Mauritius;0.20;0.20
