Country;% (of GDP);
Tuvalu;25.6;25.6
Macau;10;10
Palau;8.8;8.8
Micronesia, Federated States of;6.6;6.6
Greenland;5.6;5.6
Hong Kong;5.2;5.2
Cayman Islands;4.8;4.8
Norway;4.4;4.4
Malta;3.9;3.9
Saint Pierre and Miquelon;3.8;3.8
Northern Mariana Islands;3.7;3.7
Grenada;3.2;3.2
Cook Islands;3;3
Belarus;2.9;2.9
Bosnia and Herzegovina;2.1;2.1
Bulgaria;1.8;1.8
Cyprus;1.8;1.8
Saint Kitts and Nevis;1.7;1.7
Czechia;1.6;1.6
Liechtenstein;1.6;1.6
New Zealand;1.6;1.6
Luxembourg;1.5;1.5
Iceland;1.5;1.5
Korea, South;1.4;1.4
Sweden;1.3;1.3
Germany;1.3;1.3
Marshall Islands;1.3;1.3
French Polynesia;1.2;1.2
Guernsey;1.2;1.2
Denmark;1.1;1.1
Switzerland;1.1;1.1
Netherlands;1.1;1.1
Gibraltar;1.1;1.1
Anguilla;0.9;0.9
Greece;0.8;0.8
Croatia;0.8;0.8
Jamaica;0.5;0.5
Lithuania;0.5;0.5
West Bank;0.4;0.4
Saint Lucia;0.3;0.3
Uzbekistan;0.3;0.3
Isle of Man;0.3;0.3
Serbia;0.2;0.2
Tonga;0;0
Slovenia;0;0
British Virgin Islands;0;0
New Caledonia;0;0
Taiwan;-0.1;-0.1
Nepal;-0.1;-0.1
Somalia;-0.1;-0.1
United Arab Emirates;-0.2;-0.2
Singapore;-0.3;-0.3
Mauritius;-0.3;-0.3
Estonia;-0.3;-0.3
Ireland;-0.3;-0.3
Jersey;-0.4;-0.4
Curacao;-0.4;-0.4
Korea, North;-0.4;-0.4
Virgin Islands;-0.4;-0.4
Australia;-0.5;-0.5
Latvia;-0.5;-0.5
Guinea;-0.5;-0.5
Seychelles;-0.5;-0.5
Saint Vincent and the Grenadines;-0.6;-0.6
Finland;-0.6;-0.6
Moldova;-0.6;-0.6
Puerto Rico;-0.7;-0.7
Austria;-0.7;-0.7
Wallis and Futuna;-0.8;-0.8
Mauritania;-0.8;-0.8
Vanuatu;-0.9;-0.9
Central African Republic;-0.9;-0.9
Congo, Democratic Republic of the;-0.9;-0.9
Slovakia;-1;-1
Guam;-1;-1
Canada;-1;-1
Belize;-1;-1
Botswana;-1;-1
Belgium;-1;-1
Haiti;-1;-1
Monaco;-1;-1
Paraguay;-1.1;-1.1
Mexico;-1.1;-1.1
Brazil;-1.1;-1.1
South Sudan;-1.3;-1.3
Guatemala;-1.3;-1.3
Guinea-Bissau;-1.3;-1.3
Russia;-1.4;-1.4
Ukraine;-1.5;-1.5
Turkey (Turkiye);-1.5;-1.5
Tajikistan;-1.5;-1.5
Chad;-1.5;-1.5
Panama;-1.6;-1.6
Azerbaijan;-1.6;-1.6
Poland;-1.7;-1.7
Faroe Islands;-1.7;-1.7
Nigeria;-1.8;-1.8
Cambodia;-1.8;-1.8
Kazakhstan;-1.8;-1.8
Tanzania;-1.8;-1.8
United Kingdom;-1.9;-1.9
Gabon;-1.9;-1.9
Nicaragua;-2;-2
Hungary;-2;-2
Israel;-2;-2
Albania;-2;-2
American Samoa;-2.1;-2.1
Kosovo;-2.1;-2.1
Philippines;-2.2;-2.2
Iran;-2.3;-2.3
Italy;-2.3;-2.3
Sao Tome and Principe;-2.4;-2.4
Antigua and Barbuda;-2.4;-2.4
El Salvador;-2.5;-2.5
Bahamas, The;-2.6;-2.6
Gambia, The;-2.6;-2.6
France;-2.6;-2.6
Colombia;-2.7;-2.7
Madagascar;-2.7;-2.7
North Macedonia;-2.7;-2.7
Honduras;-2.7;-2.7
Aruba;-2.7;-2.7
Indonesia;-2.7;-2.7
Turkmenistan;-2.8;-2.8
Chile;-2.8;-2.8
Romania;-2.8;-2.8
Mali;-2.9;-2.9
Solomon Islands;-2.9;-2.9
Bermuda;-2.9;-2.9
San Marino;-2.9;-2.9
Dominican Republic;-3;-3
Cabo Verde;-3;-3
Malaysia;-3;-3
Portugal;-3;-3
Spain;-3.1;-3.1
Peru;-3.1;-3.1
Bangladesh;-3.2;-3.2
Burma;-3.2;-3.2
Kyrgyzstan;-3.2;-3.2
Ethiopia;-3.2;-3.2
Equatorial Guinea;-3.3;-3.3
Cameroon;-3.4;-3.4
Malawi;-3.4;-3.4
Bhutan;-3.4;-3.4
United States;-3.4;-3.4
India;-3.5;-3.5
Uruguay;-3.5;-3.5
Thailand;-3.5;-3.5
Japan;-3.5;-3.5
Senegal;-3.6;-3.6
Morocco;-3.6;-3.6
Georgia;-3.8;-3.8
China;-3.8;-3.8
Togo;-3.8;-3.8
Fiji;-4;-4
Falkland Islands (Islas Malvinas);-4;-4
Barbados;-4;-4
Uganda;-4.1;-4.1
Cote d'Ivoire;-4.2;-4.2
Iraq;-4.2;-4.2
Rwanda;-4.3;-4.3
Liberia;-4.3;-4.3
South Africa;-4.4;-4.4
Guyana;-4.5;-4.5
Ecuador;-4.5;-4.5
Samoa;-4.7;-4.7
Papua New Guinea;-4.8;-4.8
Armenia;-4.8;-4.8
Niger;-5;-5
Jordan;-5.1;-5.1
Yemen;-5.2;-5.2
Namibia;-5.5;-5.5
Laos;-5.5;-5.5
Sri Lanka;-5.5;-5.5
Mozambique;-5.6;-5.6
Montenegro;-5.6;-5.6
Burundi;-5.7;-5.7
Qatar;-5.8;-5.8
Tunisia;-5.8;-5.8
Pakistan;-5.8;-5.8
Dominica;-5.9;-5.9
Lesotho;-6;-6
Argentina;-6;-6
Ghana;-6;-6
Costa Rica;-6.1;-6.1
Benin;-6.2;-6.2
Mongolia;-6.4;-6.4
Comoros;-6.5;-6.5
Angola;-6.7;-6.7
Kenya;-6.7;-6.7
Vietnam;-6.7;-6.7
Andorra;-6.9;-6.9
Lebanon;-6.9;-6.9
Congo, Republic of the;-7;-7
Zambia;-7.3;-7.3
Suriname;-7.8;-7.8
Bolivia;-7.8;-7.8
Burkina Faso;-7.9;-7.9
Sierra Leone;-7.9;-7.9
Trinidad and Tobago;-8.2;-8.2
Eswatini;-8.5;-8.5
Egypt;-8.6;-8.6
Syria;-8.7;-8.7
Saudi Arabia;-8.9;-8.9
Djibouti;-9;-9
Nauru;-9.2;-9.2
Algeria;-9.6;-9.6
