Country;migrant(s)/1,000 population;
Syria;45.78;45.78
South Sudan;19.98;19.98
Venezuela;13.55;13.55
British Virgin Islands;13.21;13.21
Equatorial Guinea;13.01;13.01
Cayman Islands;12.34;12.34
Luxembourg;11.39;11.39
Monaco;10.89;10.89
Anguilla;10.48;10.48
Turks and Caicos Islands;8.42;8.42
Aruba;8.08;8.08
Burundi;6.84;6.84
Cyprus;6.65;6.65
Australia;6.39;6.39
Saudi Arabia;6.07;6.07
South Georgia and South Sandwich Islands;5.9;5.9
San Marino;5.88;5.88
Sint Maarten;5.76;5.76
Canada;5.37;5.37
Malta;4.96;4.96
New Zealand;4.81;4.81
Liechtenstein;4.78;4.78
Isle of Man;4.52;4.52
Switzerland;4.5;4.5
Djibouti;4.37;4.37
Spain;4.23;4.23
Singapore;4.18;4.18
Belgium;4.18;4.18
Norway;3.89;3.89
Sweden;3.79;3.79
Ireland;3.76;3.76
New Caledonia;3.62;3.62
Gabon;3.59;3.59
Austria;3.54;3.54
United Kingdom;3.23;3.23
Panama;3.22;3.22
Italy;3.2;3.2
Macau;3.13;3.13
United States;3.01;3.01
Botswana;2.77;2.77
Denmark;2.71;2.71
Iceland;2.69;2.69
Korea, South;2.61;2.61
Suriname;2.51;2.51
Czechia;2.32;2.32
Finland;2.25;2.25
Brunei;2.15;2.15
Antigua and Barbuda;2.01;2.01
Israel;1.99;1.99
Netherlands;1.89;1.89
Germany;1.78;1.78
Sierra Leone;1.72;1.72
Russia;1.7;1.7
Hong Kong;1.65;1.65
Guernsey;1.64;1.64
Slovenia;1.54;1.54
Jersey;1.5;1.5
Malaysia;1.46;1.46
Bermuda;1.43;1.43
Hungary;1.21;1.21
Portugal;1.2;1.2
Cote d'Ivoire;1.16;1.16
Saint Kitts and Nevis;1.15;1.15
France;1.06;1.06
Greece;1.03;1.03
Taiwan;0.96;0.96
Seychelles;0.81;0.81
Qatar;0.78;0.78
Costa Rica;0.76;0.76
Japan;0.74;0.74
Belarus;0.72;0.72
Palau;0.64;0.64
Kazakhstan;0.39;0.39
North Macedonia;0.38;0.38
Chile;0.32;0.32
Benin;0.24;0.24
Slovakia;0.2;0.2
Zambia;0.16;0.16
India;0.12;0.12
South Africa;0.11;0.11
Georgia;0.06;0.06
Mauritius;0;0
Andorra;0;0
Serbia;0;0
Congo, Republic of the;0;0
Montserrat;0;0
Madagascar;0;0
Bahamas, The;0;0
Namibia;0;0
Malawi;0;0
Ecuador;0;0
Guinea;0;0
Azerbaijan;0;0
Saint Helena, Ascension, and Tristan da Cunha;0;0
Bhutan;0;0
Faroe Islands;0;0
Papua New Guinea;0;0
Gambia, The;-0.04;-0.04
Philippines;-0.04;-0.04
Korea, North;-0.04;-0.04
Paraguay;-0.07;-0.07
Argentina;-0.08;-0.08
